id,text,date,user,user_id,favorite_cnt,retweet_cnt
1172765105328742401,"Une personne a créer un compte en ligne sur @ENGIEpartFR mais son email n'etait pas bon je pense car tout arrive chez moi (donnée perso, acces....). @CNIL @zataz une idée de quoi faire ? le mail n'a pas eu de succès..",Sat Sep 14 06:52:44 +0000 2019,Julien Anquetil,14375076,3,0
1173250124845330432,Bravo @ENGIEgroup @ENGIEpartFR pour cette réincarnation du formulaire A35 un beau travail de service client [LIEN],Sun Sep 15 15:00:02 +0000 2019,oscar - Amazon FC Ambassador 📦,545173856,5,0
1173556700420460544,Je demande ma deuxième légion d'honneur pour avoir réussi à avoir @ENGIEpartFR [LIEN],Mon Sep 16 11:18:15 +0000 2019,Sperring Christopher,705056163,2,0
1173634317815300096,"Le mec d' @ENGIEgroup @ENGIEpartFR  qui utilise un pass pour rentrer dans mon immeuble, me ment sciemment en prétextant que je dois signer un papier obligatoire... il m'autorise à en faire part à Engie. Du coup, #Engie, on peut parler de cette vente forcée déguisée ? [LIEN]",Mon Sep 16 16:26:41 +0000 2019,JL Mast,54557541,2,2
1173650655736717312,Très belle inauguration de l’agence ⁦@ENGIEpartFR⁩ à @cappellelagrande ⁦@Dunkerque⁩ bravo Antoine Scanu et ses équipes [LIEN],Mon Sep 16 17:31:36 +0000 2019,julienpattin,2454395497,12,2
1173680656028708864,"Bon, après 1 an chez @AlternaEnergie pour le gaz, je peux confirmer que c'est bien moins. A comparaison avec @ENGIEpartFR,  j'ai baissé ma conso de 8% grâce à une toiture isolée probablement, et j'ai gagné 11% sur le cout global  :) A voir à l'avenir.",Mon Sep 16 19:30:48 +0000 2019,Fabien VINCENT,253757907,2,0
1173858361416278019,". @ENGIEpartFR Bjr, pouvez vous m'aider en dm ?",Tue Sep 17 07:16:57 +0000 2019,Ellen Martin,3049745833,0,0
1173912731159801856,Bonjour @ENGIEpartFR est il possible d’échelonner une facture de régularisation ?,Tue Sep 17 10:53:00 +0000 2019,Elody  ♡,371744844,0,0
1173924671722524673,"Hey @ENGIEpartFR ! Trop cool vos services ""en urgence"". Je déménage en urgence  à la suite d'un incendie, on m'explique que pour avoir l'eau chaude il faut attendre 30 jours parce que ""j'aurais dû anticiper"".1/",Tue Sep 17 11:40:26 +0000 2019,Princesse T2A,896694208987361280,28,18
1173937727349436416,Euh je sais pas comment ils calculent chez @ENGIEpartFR mais là je payais 55€ par mois et sur la facture annuelle ils me disent qu’ils me doivent 34€ car j’ai moins consommé que ce que j’ai payé et ensuite ils me mettent sur le nouveau échéancier des mensualités de 83€ 🤯🤯,Tue Sep 17 12:32:19 +0000 2019,The Joker,330277664,1,0
1173949145079566336,"2ème passage aujourd'hui... ""je travaille pour @enedis_clients @ENGIEpartFR, je dois accéder à votre compteur""Poke @60millions @UFCquechoisir @med_energie [LIEN] [LIEN]",Tue Sep 17 13:17:41 +0000 2019,(perlim)Pinpin 🧙‍♂️,2348604942,1,0
1174381076778815489,"Resilier @EDFofficiel et @ENGIEpartFR après un décès, presque un parcours du combattant !",Wed Sep 18 17:54:02 +0000 2019,Thierry,51418382,0,0
1174584417102249985,Clairement j'apprécie @ENGIEgroup @ENGIEpartFR ça va on se met bien ? [LIEN],Thu Sep 19 07:22:02 +0000 2019,Prêtresse Sieste,919504507406569472,0,0
1174647174711451649,"Coucou @GRDF @ENGIEpartFR 
@enedis_pdl serait-il possible que vous communiquez à propos de la panne ( volontaire ou involontaire ) actuellement en cours à #Nantes ? 
Un rapport avec la manifestation devant la #Prefecture ( coupure volontaire ) ? Merci",Thu Sep 19 11:31:24 +0000 2019,Sophie CD44,3301989399,0,1
1174713606019174411,Je m'énerve souvent trop vite ... Mais je sais reconnaître mes erreurs 😏 Donc merci à vos équipes qui s'activent dans ma rue pour réparer cette panne et qui viennent très gentiment de m'expliquer ce qu'ils faisaient  #Nantes  @ENGIEpartFR @GRDF [LIEN],Thu Sep 19 15:55:23 +0000 2019,Sophie CD44,3301989399,2,0
1175007582169260032,"Bjr⁩ ⁦@ENGIEpartFR,⁩ ce numéro se présente au nom de votre société pr de la démarche commerciale. J’ai décroché au bout du nième appel. Va falloir q vous me rayiez de vos listes sinon ça va chauffer pr vos oreilles les p’tit gars ! ⁦@60millions⁩ ⁦@CNIL⁩ [LIEN]",Fri Sep 20 11:23:32 +0000 2019,Chris Angus⚡️Gilmour 🌈🇫🇷⭐️⭐️,494981987,0,0
1175028608202682373,"Service client @ENGIEpartFR (côte Gaz tarif réglementé) au top du top : après de longuuues minutes d’attente, on se fait raccrocher au nez quand on ose émettre un avis (en restant poli). Vous venez de perdre un client. Quelqu’un a un bon fournisseur de gaz à me conseiller? [LIEN]",Fri Sep 20 12:47:05 +0000 2019,Emmanuel Pujol,62919613,0,0
1175104437578321921,"Le service client chez @ENGIEpartFR c'est vraiment drôle... Ou pas ! ( Regardez le temps pour répondre... D'ailleurs, il n'y a même pas de vraie réponse !) [LIEN]",Fri Sep 20 17:48:24 +0000 2019,Ben_linux,404138686,0,0
1176117743755694085,"Salut @ENGIEpartFR 
Vous me devez 351€ depuis le 01 août, ça vous tenterais pas de ME FILER MON POGNON SVP ?!?!
PS : la réf client c’est le 310 339",Mon Sep 23 12:54:55 +0000 2019,Sapnu puas 🔃,470461229,2,0
1176181872495353857,Bonjour @ENGIEpartFR je ne peux plus me connecter avec mon mail (inconnu) et mon compte client (inconnu). Vous m'expliquez le problème ?,Mon Sep 23 17:09:45 +0000 2019,Eric Num,997197656236666887,0,0
1176193313768116226,Un grand merci @ENGIEpartFR @ENGIEgroup pour ce relevé de compteur totalement abusif ! [LIEN],Mon Sep 23 17:55:13 +0000 2019,Hugo Rémond-Marques,108978457,0,0
1176199543274266625,Lancement du 13ème @ENGIEgroup #Open de #tennis @ClermontFd @auvergnerhalpes à Aubière #Auvergne @FFTennis @TennisAuFeminin @ClrmntMetropole @lamontagne_fr @F3Auvergne @FBAuvergne @_INFOMAGAZINE @ClubPAuvergne @ENGIEpartFR @ENGIE_IneoFR @ENGIE_AximaFR @ENGIE_CofelyFR @engieo11 [LIEN],Mon Sep 23 18:19:58 +0000 2019,Nathalie DINI,819850429743984640,13,1
1176449437213892609,Marre d'être harcelé au tel par @ENGIEpartFR @ENGIEgroup comment faire pour ne plus être dérangé ?,Tue Sep 24 10:52:57 +0000 2019,Laurent Kremlin🐝🐛,72275243,0,0
1177184160970170368,"[LT] Initiation à la langue des signes pour les salariés ENGIE. Merci à @deafi_officiel, partenaire d’@ENGIEpartFR depuis 6 ans🙌 [LIEN]",Thu Sep 26 11:32:29 +0000 2019,ENGIE Particuliers,55216228,8,6
1177187572356980738,"A l’occasion de la Journée Mondiale des Sourds, #Deafi est présent chez @ENGIEpartFR pour une initiation à la LSF ! Merci pour cet accueil 🙌🏻

#JMS #accessibilité #Engie #Deafi [LIEN]",Thu Sep 26 11:46:02 +0000 2019,Deafi,292368955,5,0
1177196719181914113,"Comment communiquer avec un sourd ? Comment dire bonjour, merci ou Engie en Langue des Signes Française ? 
Nous répondons aux questions des salariés de @ENGIEpartFR ! 🙂 #JMS #Deafi #LSF [LIEN]",Thu Sep 26 12:22:23 +0000 2019,Deafi,292368955,3,1
1177216729195384832,Merci @ENGIEpartFR @ENGIEgroup de votre refus ecrit de me transmettre la copie d'un enregistrement téléphonique. Ça ne va pas plaire à la @CNIL . #rgpd,Thu Sep 26 13:41:54 +0000 2019,Jules AL,227361390,1,0
1177294836321398785,"Hello @ENGIEpartFR, je reçois ça toutes les 2h depuis ce matin... j’ai bien compris hein 🤓 [LIEN]",Thu Sep 26 18:52:16 +0000 2019,Ⓙ℮。,59123519,0,0
1177539704423636992,"Check List pré signature de l‘Acte de Vente :
- @ENGIEpartFR ✅
- @bouyguestelecom ✅
- Assurance habitation ✅ 

- Cartons 〰️🔜 
- Rangement et Ménage 🧺🧹",Fri Sep 27 11:05:17 +0000 2019,It's Tea Time 索菲亚,588991117,2,0
1177562015197474816,J’appelle @ENGIEpartFR ils me disent « votre temps d’attente est de 5 minutes » ça fait déjà 35 minutes que j’attends 😭,Fri Sep 27 12:33:57 +0000 2019,𝔐𝔞𝔦𝔫𝔐𝔞𝔦𝔫,3246992388,1,0
1178587685038039040,Pourquoi vous m’appelez @ENGIEpartFR ? Si c’est pour ne rien dire et me raccrocher au nez ????,Mon Sep 30 08:29:35 +0000 2019,Cricristof,140160178,0,0
1178744321639665665,"Bonjour @ENGIEpartFR.
L'un de vos démarcheur est venu chez moi, a menti à ma femme en prétendant faire un relevé de compteur. (Pour connaître la Puissance)
Je suis client de @EDFofficiel
Vous avez de la chance je n'étais pas là.
Sinon une plainte serait déjà déposée.",Mon Sep 30 18:52:00 +0000 2019,Bibius,499189499,0,0
1178724768016736258,"Dis donc, @ENGIEpartFR , pourquoi je ne peux pas accéder à mon espace client ? #PageRefusee",Mon Sep 30 17:34:18 +0000 2019,Myrtille,979082930319437824,0,0
