id,text,data,user,user_id,favorite_cnt,retweet_cnt
1175786832338083844,"Bonjour @lidlfrance il serait grand temps de vendre des sachets de levure chimique de 11g. Pck vos sachets de 15g ne sont pas pratique.Cdt, votre meilleure cliente 🙃",Sun Sep 22 15:00:00 +0000 2019,Faat’,941016479742521345,1,0
1175755324525076480,Ouais d'ailleurs c'est quand que vous mettez le croissant aux amandes dans votre boulangerie les frères ? @lidlfrance,Sun Sep 22 12:54:48 +0000 2019,Winston.® 🇲🇬,126023801,0,0
1175753439583903746,En vrai merci @lidlfrance pour le coin viennoiserie.  Une merveille pour le palais et top pour le portefeuille,Sun Sep 22 12:47:19 +0000 2019,merill,1327017578,0,0
1175700196606599168,Je félicite @lidlfrance pour tout vos produits sans lactose que je peux consommer. 🙌🏻 Notamment le lait sans lactose à un prix aussi bas!,Sun Sep 22 09:15:44 +0000 2019,Ana 👸🏼,733396625255587840,1,0
1175528078103187458,A #guebwiller par @lidlfrance construction du magasin avec des matériaux récents en rappel d'un style ancien (briques rouges des bâtiments industriels de la fin du 19ème siècle) sur le site des anciennes usines textiles Frey. [LIEN],Sat Sep 21 21:51:48 +0000 2019,Association Brigitte Schick,1175501829540601862,0,0
1175526225365934080,A #guebwiller par @lidlfrance préservation de quelques sheds des anciennes usines textiles Frey ☑️👍 [LIEN],Sat Sep 21 21:44:27 +0000 2019,Association Brigitte Schick,1175501829540601862,0,0
1175521522154446848,"A #guebwiller par @lidlfrance préservation de quelques sheds des anciennes usines textiles Frey, intégration en places de stationnement ombragées. [LIEN]",Sat Sep 21 21:25:45 +0000 2019,Association Brigitte Schick,1175501829540601862,0,0
1175514790397132800,Qui vient de perdre son boulot ?@lidlfrance j’attends un retour de vos succursales de Strasbourg.,Sat Sep 21 20:59:00 +0000 2019,Gold like 24k • OkAY ! ✨,2579586600,0,0
1175394110724890624,"Depuis que j’ai l’Apple pay, je sors plus avec ma cb, ça passe PARTOUT sauf au Lidl wesh..bientôt 2020 @lidlfrance",Sat Sep 21 12:59:28 +0000 2019,Danny 🇨🇮,191531417,0,0
1175382790814277632,"JOURNÉE PORTES OUVERTES à la @Heidelberg_Haus en cours. Vernissage ""Habitat"" photographe Daniel #Schreiber @heidelberg_de en présence de @chantal_marion @Montpellier3m et consul @roland_ickowicz. #Animation Brezel &amp; produits 🇩🇪 @lidlfrance. Animation L'Art fait le mur @ofaj_dfjw [LIEN]",Sat Sep 21 12:14:29 +0000 2019,Maison de Heidelberg,3221359458,13,3
1175374624676360193,Et encore une charge gratuite grâce à @lidlfrance [LIEN],Sat Sep 21 11:42:02 +0000 2019,Roland van Rijswijk-Deij 🇳🇱🇪🇺🏳️‍🌈,151004898,2,0
1175360550852804608,Hey @lidlfrance sérieux la pub pour vos voyages ok mais c'était obligé de rabaisser une femme a un objet de désir ? Le mec qui la dévore des yeux et elle qui sourit ? Sérieux on est en 2019 les clichés sexiste faut p-e faire sans ?,Sat Sep 21 10:46:07 +0000 2019,Dame Clémence-Impératrice Lapine 🏳️‍⚧️,531697850,3,0
1175350462528274432,Bonjour @lidlfrance je suis dans le magasin de Roubaix potennerie. Je tombe sur un article Parkside 4 en 1 incomplet je demande une remise à la responsable de rayon. Plutôt que de me l’accorder elle me dit je préfère le jeter! C’est ça l’écologie chez vous ? #ecologie #Lidl,Sat Sep 21 10:06:01 +0000 2019,Kamel.15.Dz,4417895295,0,0
1175116895575597056,Merci @lidlfrance reservation de #monsieurcuisineconnect s est bien passée à lidl de Clamart  et le produit semble tres qualitatif!!!! Vous etes une equipe au top! [LIEN],Fri Sep 20 18:37:55 +0000 2019,Anton Etchegaray,225576489,0,0
1175111433119571969,Hé @lidlfrance Fake news ou vérité ? Parce que j'ai des œufs acheté dans un de vos magasins cette semaine dans mon frigo. [LIEN],Fri Sep 20 18:16:12 +0000 2019,Énergumène,329824443,0,0
1175081284441391104,"Coucou @lidlfrance, dites-moi, quand un prix est indiqué à l’unité (ex: bouteille issue d’un pack d’eau, rouleau de papier toilette), cela signifie-t-il qu’on peut l’acheter à l’unité ?",Fri Sep 20 16:16:24 +0000 2019,Monsiñor,3065952699,0,0
1175068716071100421,"Un kiosque ""Entreprise et Recrutement"" dans la zone accueil! #AvecPoleEmploi @Annecy nous nous adaptons aux besoins des employeurs ! @lidlfrance #VersUnMetier #Domex [LIEN]",Fri Sep 20 15:26:28 +0000 2019,Els🅰️ Rouss🅾️n,871098063749861376,5,1
1175063311802667009,Salut @lidlfrance je suppose que c'est une arnaque ?! 🤔Bonne journée ! [LIEN],Fri Sep 20 15:04:59 +0000 2019,Gnaremoob (Franck),863009935,0,0
