id,text,date,user,user_id,favorite_cnt,retweet_cnt
1183260553608871936,L’assurance qui me dit qu’ils me rembourseront pour le cambriolage si les flics retrouvent les coupables. Merci la @MAIF vous êtes des fdp,Sun Oct 13 05:57:54 +0000 2019,.,4806570622,9,0
1183069321251164165,La @MAIF rompra son contrat publicitaire si @CNEWS embauche #Zemmour [LIEN],Sat Oct 12 17:18:01 +0000 2019,Terre et Peuple,2789693407,0,0
1183040655473479687,#Particulier cherche à souscrire une #assurance pour son #bateau à moteur + sa remorque 🚤⚓️ Voir l'#opportunité et contacter l'#apporteur d'#affaires : [LIEN] @MAIF @MMAssurances @GroupeMacif  @bateaux_com @mersetbateaux @MerBateaux @Groupama @MAAFAssurances [LIEN],Sat Oct 12 15:24:06 +0000 2019,First2trade,970622134237179904,0,0
1183010560826335232,Merci au jury du Prix Dimoitou-@OuestFrance à l’occasion de la @25eheuredulivre ! Et bravo à la gagnante Marie Lenne-Fouquet pour son livre Kidnapping à la confiture ! Merci a nos partenaires @I_Sarthe @MAIF @LibrairieDoucet pour leur soutien ! [LIEN],Sat Oct 12 13:24:31 +0000 2019,Mélanie Brunet,264399970,8,3
1183001202751090688,#RDVH2019 1 ère conférence Ess- nous avons des outils de réponse aux transitions d aujourd’hui. Alors on attend quoi? @FUrscop @RevueRecma @LESPER_France @MAIF @ReseauRTES @cress_centre [LIEN],Sat Oct 12 12:47:20 +0000 2019,Caroline Dumas,798988579032604673,3,0
1183000067835338756,"Une bonne assurance, c’est une assurance qui rembourse intégralement l’ordinateur dont est équipé mon fils pour suivre une scolarité normale, quand il se casse un vendredi soir. Remboursement accordé en 20 minutes. Merci @MAIF 🥰",Sat Oct 12 12:42:49 +0000 2019,Flore J.  🌺🌸🍁,107353535,21,2
1182975722400485376,Après la séquence #dupontdeligonnes la @MAIF et @NutellaFR décident de ne plus faire de publicité sur @BFMTV et @CNEWS 🤡,Sat Oct 12 11:06:05 +0000 2019,Pierre-Jean Néri,74747116,3,1
1182885523448356864,"[URGENT] @renault_fr @Peugeot et @Citroen dépensent chaque mois près d'1 million d'euros de pub sur @CNEWS. Ils financent donc le nouveau salaire d'Éric #Zemmour. On a déjà convaincu la @MAIF, alors on continue ! 🔴 Signez la lettre ouverte maintenant ⤵️ [LIEN]",Sat Oct 12 05:07:40 +0000 2019,Lila,891057101417701376,2,0
1182746545168506882,"La @MAIF a tout simplement des valeurs avec lesquelles elle ne transige pas Mme @nadine__morano 
Fière de mon assurance 
Merci à @ALouisDeputee13 [LIEN]",Fri Oct 11 19:55:25 +0000 2019,Monique Mattio Gros,1141356583231918080,3,0
1182723674996183040,Un grand moment pour la valorisation des valeurs de la République par le débat pour les jeunes et les acteurs de l’éducation @MAIF @groupe_mgen @Casden_BP @ObservLaicite @ncadene @rdvhistoire [LIEN],Fri Oct 11 18:24:32 +0000 2019,Le Moutard,586685280,19,6
