id,text,date,user,user_id,favorite_cnt,retweet_cnt
1183807367848382464,"Petit à petit..BESOIN DE VOUS MAINTENANT, DEMAIN et durant 12 JOURS à venir...sinon somme rendue... Projet enfants THEATRE PARTOUT ET POUR TOUS : 1474€ sur 2500€... Inscrivez-vous avec un mail et un mot de passe de votre choix.  Ulule [LIEN] via @ululeFR",Mon Oct 14 18:10:45 +0000 2019,Moës Thibault - Cie Imagin'Art,126028020,0,0
1183770722327564296,En route pour les 70% ! #tango #vivaldi #piazzolla #Spectacle Seasons - Tournée européenne 2019 - 2020 - Ulule [LIEN] via @ululeFR,Mon Oct 14 15:45:08 +0000 2019,Etienne M,190010340,0,0
1183765183761670144,Soutenez #FusionMan tomes 3 &amp; 4 sur @ululeFR | [LIEN] [LIEN] [LIEN],Mon Oct 14 15:23:07 +0000 2019,COMICSBLOG.fr,196290523,2,1
1183760142145413121,"Pour retrouver notre projet sur Ulule et notre nouvelle collection 👇

N'hésitez pas à partager 😉

Joli Roger - Ulule [LIEN] via @ululeFR",Mon Oct 14 15:03:05 +0000 2019,Joli Roger,795968238131744769,2,0
1183744903177736192,"Objectif atteint ! Merci pour votre mobilisation sans faille ! Sans ses donatrices et donateurs, @lerefuge n’existerait pas ! 🙏❤️🙏 Merci @Monoprix @ululeFR @LeRefuge75 [LIEN]",Mon Oct 14 14:02:32 +0000 2019,Nicolas Noguier,2797503150,35,12
1183727600532951040,"#MondayMotivation : 50% avant la fin de semaine pour #FusionMan #Comics de @SpiritDarko sur @ululeFR ! Que les #LGBT aient une VRAIE représentation en #BD et #culture #Mainstream et non des seconds rôles inutiles pour se donner bonne conscience !

--&gt; [LIEN] [LIEN]",Mon Oct 14 12:53:47 +0000 2019,Jonas,1657129260,5,3
1183660960067837953,"Popee, papier toilette made in France et recyclé ! - Ulule [LIEN] via @ululeFR",Mon Oct 14 08:28:58 +0000 2019,Clemence dHarville,977494436061110272,0,0
1183623520636620808,"Entreprises, vous souhaitez vous engager au service de l’#impact positif ?

@ululeFR  vous explique comment concrétiser vos engagement de marque et participer à l’éclosion de solutions à impact positif.

Découvrez leur livre blanc 👇
 [LIEN] [LIEN]",Mon Oct 14 06:00:12 +0000 2019,Citizen Capital,1131684331,0,0
1183620916976205824,"Nous avons choisi de soutenir #Femmes #SDF à travers un #mécénat financier. Et cette association pleine de vie a lancé sa première campagne de #crowdfunding... Découvrez ses missions, ses actions, et aidez-la vous aussi par votre #participation !

[LIEN] @ululeFR",Mon Oct 14 05:49:51 +0000 2019,Cabinet Social,1598236135,0,0
1183475598708170752,"Hep, maintenant que je suis rentré, je veux remercier très fort @Indie_Beard_Com @_Konala_ @mrhelmut @exserv85 @LeCNC @BxMetro @IndieGameF @emmanuelforsans @pierreforest @ululeFR et @GamesplanetFR. Journée et week-end fort interressants (c'est passe trop vite )",Sun Oct 13 20:12:25 +0000 2019,Valentin / ToshNobody,538884110,6,1
1183469560873267200,"Hop, petit relais pour une marque de cosmétiques Bio dont les fondateurs sont adorables, et qui a besoin d'un coup de pouce pour modifier sa charte graphique [LIEN] via @ululeFR",Sun Oct 13 19:48:25 +0000 2019,Anne-Sophie Novel,15838516,2,1
1183404166045151234,"Il manque moins de 400 € pour réussir la campagne et permettre au jeu d'exister ! Faites des heureux pour Noël et soutenez des créateurs de talents &lt;3
[LIEN] via @ululeFR",Sun Oct 13 15:28:34 +0000 2019,Doublure Stylo,1120679941870321664,2,3
1183400838594740224,"Allez soutenir les Blinding Sparks sur @ulule @ululeFR leur projet de clip "" A trois"" est génial!!! #musique #pop #rock #crowdfunding #boys #girls #hits #populaires #musicvideo 
 [LIEN] [LIEN] [LIEN]",Sun Oct 13 15:15:21 +0000 2019,pascal klopp,109317515,0,0
1183301265008316416,"Une enquête, des exoplanètes, un prix Nobel de physique... découvrez le 1er tome de la BD Salomé  #enquête #exoplanètes #MichelMayor #prixNobel #bandedessinée #Raf #rtom13 @AAstierOff @PierreCoronas

Salomé - enquête d'exoplanètes [LIEN] via @ululeFR",Sun Oct 13 08:39:40 +0000 2019,Raf,1181543662800510976,1,2
1183256793683759104,Gameplay émergent - Ulule [LIEN] via @ululeFR,Sun Oct 13 05:42:58 +0000 2019,extraterrnet,46603288,0,0
1183212206776897537,Noix de Choco [LIEN] par @ululeFR #crowdfunding,Sun Oct 13 02:45:47 +0000 2019,DiGiTaL FooD,2170865682,0,0
1183098922966945793,"En vrai, je pensais prendre le pack à 15€ pour la campagne @ululeFR des @TuboniaBD mais rien que pour le palier des 6666% j'vais prendre le pack a 50€ je crois xD 
Voir @FarodGames vs @TartinEx j'en pleure déjà ! 😂😂",Sat Oct 12 19:15:38 +0000 2019,Anthony Gorski 💻,3123360946,1,0
1183084132651409409,"[Campagne Ulule] 🎉
👉 [LIEN]

Il ne reste que 24 jours avant la fin de notre campagane ! 🌿 
Si vous souhaitez être prêt pour le printemps 2020, n'hésitez pas à participer :) 
@ululeFR 

#shoes #ulule #handmade #mexique",Sat Oct 12 18:16:52 +0000 2019,Nan Salazar,194334957,0,0
1183050342587654145,La campagne @letankmedia est à la une de @ululeFR aujourd'hui. Il ne vous reste que quelques jours pour devenir Membre fondateur et bénéficier de ce statut unique. Rejoignez-nous ! [LIEN] [LIEN],Sat Oct 12 16:02:36 +0000 2019,Baptiste Thevelein,97059150,4,6
1183038382731153409,"Bien le bonjour,
La campagne @ululeFR pour @ModelePhare est enfin terminé.
Grâce à vous j’ai pu récolter 320€ quoi (assez pour du matériel professionnel) ! Je n’en reviens pas trop et ça me met un peu de pression quant à mon projet mais bon c’est positif. [LIEN]",Sat Oct 12 15:15:04 +0000 2019,modèle phare,1149601953355304960,0,0
1183031190820917248,"Nos partenaire parle de nous ... 

👉👉 Soutenez notre campagne de financement participatif sur Ulule : [LIEN]

@FarmViz @champspossible @LeVillagebyCA @chambagri28 @EmilieCornely @EstelleSapin @ululeFR #agtech #crowdfunding [LIEN]",Sat Oct 12 14:46:30 +0000 2019,FarmViz,822190577160753152,5,6
1182976390334996481,NOUVEAU MODÈLE - Ulule [LIEN] via @ululeFR,Sat Oct 12 11:08:44 +0000 2019,Claire Breut,85407935,0,0
1182956131758563328,"Jouer à un jeu d'aventure les yeux bandés ? Envie d'essayer ?
@Gotaga @AREtoiles @HugoDelire36 @LuttiLutti_ @Doigby @doomsytb @VeerDosE @IconoTweet

Testez la démo de #LostinBlindness : [LIEN]

Retrouvez la campagne @ululeFR ici : [LIEN] [LIEN]",Sat Oct 12 09:48:14 +0000 2019,Unseen Interactive,1133337505443586048,5,3
1182949458104979456,"Le Podcast ""Nouveau Modèle"" de Chloé Cohen a besoin de nous ! Une émission sur les femmes qui entreprennent dans la #modeethique #modedurable et qui parlent de leurs parcours, projets &amp; engagements.
Plus que qlq jours pour participer à la cagnotte @ululeFR [LIEN] [LIEN]",Sat Oct 12 09:21:43 +0000 2019,Aude,3869199262,3,2
1182942849270239232,"Sinon entre deux infos sur l’Ecosse et Dupont, notre campagne pour devenir Membre fondateur ⁦@letankmedia⁩ entre dans sa dernière ligne droite. Et est en Une de ⁦@ululeFR⁩ 
[LIEN] [LIEN]",Sat Oct 12 08:55:27 +0000 2019,MMDP,15082903,0,0
1182920825424486400,"Un très bon article qui parle de @sedu_q le jeu pour éduquer au consentement et à la santé sexuelle que nous avons le bonheur de soutenir. Il reste 15 jours sur @ululeFR pour que vous fassiez de même... #pouvoiragir #onesttoutesconcernees
[LIEN]",Sat Oct 12 07:27:57 +0000 2019,CIBC Normandie,517954812,4,2
1182912553648824320,"Encore quelques jours pour contribuer à ce beau projet. 
Rendez vous sur [LIEN]

A bientôt

@ululeFR @ArtisanatFR @Medef53 @lamayenne @Initiative53 #jeux #patrimoine @HautAnjou [LIEN]",Sat Oct 12 06:55:04 +0000 2019,Concept Bois & Jeux,850024092430458881,3,1
1182791886777524230,600+ contributeurs + Festival Naheulbeuk. - Naheulband - 15 ans de Chaos - Ulule [LIEN] via @ululeFR,Fri Oct 11 22:55:35 +0000 2019,Ludovic,839952231466164224,0,0
1182676433656778752,"Je vous conseille de foncer financer le projet BD de la @FlandersCompany sur @ululeFR ! 
D'autant que les couleurs seront réalisées par @flomoshi comme pour #Noob #Neogicia et le #BlogDeGaea !
Ça se passe là : [LIEN] [LIEN]",Fri Oct 11 15:16:49 +0000 2019,Philippe Cardona - Sentaï School,227606061,36,11
1182657388840652800,"👟 L'idée de shopping solidaire de la semaine, c'est #Corail, une baskets fabriquée avec le plastique repêché dans l'océan. Actuellement en campagne de crowdfunding sur @ululeFR, elle rencontre un franc succès.  

↪️ [LIEN] [LIEN]",Fri Oct 11 14:01:08 +0000 2019,carenews.com,1128154711,2,0
1182648329773166593,Déjà +1 000€ de récolté pour Stribe - Le jeu de carte en réalité augmentée ! Go les soutenir et faire des dons 💪 - Ulule [LIEN] via @ululeFR,Fri Oct 11 13:25:09 +0000 2019,Kappychaoc,1697011560,2,0
