id,text,date,user,user_id,favorite_cnt,retweet_cnt
1183384138121961475,Depuis quasiment un mois je ne sais plus écouter sans wifi/4G les 3/4 de mes chansons enregistrées sur Spotify. @spotifyfrance Une idée du problème ?,Sun Oct 13 14:08:59 +0000 2019,Christophe,3375901228,0,0
1183383370111291394,"bon @spotifyfrance il serait temps de donner une utilité au bouton « suivre » et d’émettre des notifs quand un artiste sort un son/album

MERCI",Sun Oct 13 14:05:56 +0000 2019,leï,1140887101,1,0
1183361722494652416,"Où l'on apprend que @DeezerFR et @spotifyfrance permettent à un complotiste d'extrême droite condamné par la justice de faire sa promo. Bonus : c'est aussi un propagandiste d'Erdogan en France. 🙄
Un #thread #stophatemoney.
[LIEN]",Sun Oct 13 12:39:55 +0000 2019,Tristan Mendès France,7227522,2,4
1183353672710967296,"#PodcastOctogon n°302 🎙️ - Résumé #UFCTampa ""Joanna 🇵🇱 vs Waterson 🇺🇸"" + News #UFC 
cc @DamelOmar 
[LIEN]
@MMAAndCo1 @mmadeferlante @Jonatan_M13 @jeremiejanot @kongo4real 
Disponible sur #ApplePodcasts, #GooglePodcasts, @spotifyfrance ou @DeezerFR 
🔁ou❤️ [LIEN]",Sun Oct 13 12:07:55 +0000 2019,Samir 🥋,67344482,10,9
1183331015730892801,"Si une relation dure moins d’un mois, vous n’êtes pas des ex.
Il s’agissait juste d’un essai gratuit comme celui de @spotifyfrance ou @NetflixFR !!! 🤣🤣🤣",Sun Oct 13 10:37:54 +0000 2019,デイビッド 偉大な,353296768,0,0
1183320879004033024,Coucou @spotifyfrance vous avez prélevé un abonnement classique et un abonnement famille (soit 14.99+9.99€) au lieu un abonnement Family... Help svp,Sun Oct 13 09:57:37 +0000 2019,𝙍𝙤𝙗𝙞𝙣 Mgsn-Jvx 🇫🇷🇨🇦🇩🇪,391942532,1,0
1183227898309857280,16 musiques de Vald dans le top 40 @spotifyfrance 😅 [LIEN],Sun Oct 13 03:48:08 +0000 2019,Thomas 🌍,400653433,3,0
1183161547205632001,"Bon @spotifyfrance est-ce que, un jour l'application va arrêter de ce couper toute seule ? J'vais exploser mon téléphone là",Sat Oct 12 23:24:29 +0000 2019,Guillaume,980490369191333888,1,0
1183160899231723520,"J’ai écrasé un escargot à cause de @spotifyfrance , c’est où qu’on porte plainte ?",Sat Oct 12 23:21:55 +0000 2019,Mirsss ⭐️⭐️,629656991,0,0
1183133116090798085,"Qui est le génie qui à crée la playlist ""en boucle"" sur @spotifyfrance ?",Sat Oct 12 21:31:31 +0000 2019,Sam,1182975847776636929,0,0
