id,text,date,user,user_id,favorite_cnt,retweet_cnt
1183312269528256512,"#CollTerr - site #web et conformité #RGPD : parce que c’est un sujet qui remonte toujours dans les ateliers #CollTerr du #TDFCYBER2019 , consultez les bonnes pratiques de la @CNIL à destination des communes
cc @CyberCercle [LIEN] [LIEN]",Sun Oct 13 09:23:24 +0000 2019,Cyber & Territoires,707647374647234560,2,1
1183292694132658177,"Bonjour @EnvoyeSpecial Imaginez des patients dont des photos circulent sur une application destinée aux professionnels de santé, mais accessible à tout public. Je n'ai pas eu de réponse de la @CNIL à ce sujet. L'application @MedPicsApp oeuvre-t-elle dans l'intérêt des patients?",Sun Oct 13 08:05:37 +0000 2019,Strapondine,1255212156,1,0
1183280221429981185,"Bonjour @CNIL
Avez vous déjà reçu un signalement pour le numéro 0970269752 qui harcèle les particuliers en indiquant qu'ils appellent dans le cadre du programme isolation à 1 €, en disant que pour sortir de leur base il faut prouver avoir fait les travaux par un autre pro 😤 ? [LIEN]",Sun Oct 13 07:16:03 +0000 2019,Amélie CARO,217532100,1,0
1183141802641100800,"Bonjour @CNIL, il semblerait que plusieurs centre de contrôle technique ont eu accès à mes données personnelles (adresse postale, mail) alors que je n'ai jamais consenti à leur diffusion. Ca a l'air d'être un phénomène assez ""normal"" dans le milieu.",Sat Oct 12 22:06:02 +0000 2019,Spooky Jiti 🎃,42138634,0,0
1183102635689283584,Pourquoi la @CNIL irlandaise est le centre névralgique de la protection des données personnelles [LIEN] via @LUsineDigitale,Sat Oct 12 19:30:23 +0000 2019,Aurélie Coudouel,47330308,0,0
1183061101191290881,⁦@CNIL⁩ ➡️#cryptography Pour tout comprendre 👇 [LIEN],Sat Oct 12 16:45:21 +0000 2019,Gloria B-CASAREGGIO 🌍 #Climat #Villani2020,790100375214981120,0,0
1183018813417279488,"Bonjour @CNIL , pourriez-vous me dire s'il est légal d'utiliser le mode Sentinelle des @Tesla en France, et si la vidéo enregistrée est considérée comme une preuve valable ? Merci par avance",Sat Oct 12 13:57:19 +0000 2019,Le roi des veaux.,1045364460834234368,2,0
1183016584702550016,Ça vous dit qqchose apparement la #rgpd mais si vous croyez que google analytics be fait rien de personnel avec le tracking qu'il vous permet c'est que vous avez pas encore compris le modèle économique de ce service gratuit @helloasso cc @CNIL [LIEN],Sat Oct 12 13:48:27 +0000 2019,Nicolas Bétheuil,161811804,0,0
1182955056565497857,"Hey Twitter, j'en ai un peu marre de me faire harceler par ""FRANCE PROTECT SERVICE"" et #bloctel ne sert à rien. 
On peut faire quoi quand on remonte le numéro de téléphone jusqu’à son propriétaire(qui refuse d'appliquer la loi sur le @rgpd ) 🤔 
@CNIL : si vous avez des conseils",Sat Oct 12 09:43:58 +0000 2019,CiWiDiJu,12880862,0,0
1182944872996786176,"Si c'est confirmé, ça fera tellement plaisir à tous les défenseurs de la vie privée qui vous expliquent les dangers de notre société de surveillance et des fichiers généralisés cc @CNIL @laquadrature [LIEN]",Sat Oct 12 09:03:30 +0000 2019,Doc Gaga,877241159663464448,0,0
1182936068049588224,"Où vous trouverez quatorze dépôts par @LINCnil / @CNIL et des liens vers notre GitHub

(merci @Bzg2 @Etalab @_Dinsic !) [LIEN]",Sat Oct 12 08:28:31 +0000 2019,Régis Chatellier,14865387,16,11
1182914192665464832,"#RGPD Données personnelles collectées sur #Internet
Comment en récupérer une copie ? #Google #Facebook 
#Snapchat #LinkedIn #Twitter @CNIL @DemarchesAdm [LIEN]",Sat Oct 12 07:01:35 +0000 2019,Business Development BtoB Formation Modern Selling,862843656,1,0
1182753661920919552,"Bonsoir @CNIL, dites moi, c'est conforme au RGPD ça ?

[LIEN]",Fri Oct 11 20:23:42 +0000 2019,Yanis “Purpl3 W0lf”,3773071881,0,0
1182722846767882245,"""La @CNIL perd contre #Google à la Cour de justice de l'UE""
[LIEN]",Fri Oct 11 18:21:15 +0000 2019,Clarin,303171258,0,0
1182683525289394177,"Toute l'actu de la #tech ! #cryptomonnaies #Facebook #5G  #FacialRecognition #drones 
@AdR_layer 
@CNIL 
@ChardenonA 
@LUsineDigitale 

📻[LIEN]",Fri Oct 11 15:45:00 +0000 2019,Radio Village Innovation,4814736976,4,1
1182680073595510784,#RGPD @CNIL ...oh ! La belle blague 🙃 🤔😱 [LIEN],Fri Oct 11 15:31:17 +0000 2019,Agnes Firmin Le Bodo,1979469114,36,10
1182670687200272386,"#PDJ_Sénat RDV le 16 octobre à 8h30 pour rencontrer Armand Heslot, chef du service technologie à la 
@CNIL 📲

👉Thème : Intelligence artificielle #IA, #BigData et protection des données, le rôle de la #CNIL aujourd'hui et demain

📝Inscription sur : [LIEN] [LIEN]",Fri Oct 11 14:53:59 +0000 2019,Resilience France,41563986,3,4
1182667114135638022,[ACTU] #RGPD : La @CNIL publie un guide pour aider les collectivités locales à se mettre en conformit. [LIEN] #collterr #compublique [LIEN],Fri Oct 11 14:39:47 +0000 2019,Cap'Com,90647689,6,6
