id,text,date,user,user_id,favorite_cnt,retweet_cnt
1183329493039177728,"Impossible de suivre Mauquenchy, Reims, Lisieux ... par contre tu peux parier sur Hoppegarten ou Ebreichsdorf 🤔😒 @PMU_Hippique",Sun Oct 13 10:31:50 +0000 2019,L-Dup,2920455352,2,0
1183092571897249794,"Pinatubo en Angleterre, Facetime Bourbon dans l'UET. Quels ratés ! @equidia n'est plus la chaîne des courses, c'est la chaîne des chevaux portant un numéro @PMU_Hippique. Triste ! @YannA2TURF",Sat Oct 12 18:50:24 +0000 2019,La Voix des Courses,1175644797769527296,17,3
1183077518376611842,"Si @equidia, @PMU_Hippique ou encore @LeTrot pouvait faire quelque chose pour diffuser les groupe 1 a l’etranger ca serait pas de refus qu’en pensez vous @YannA2TURF ?",Sat Oct 12 17:50:35 +0000 2019,HugoM,701521014392549376,6,0
1183055348057477120,Salut @PMU_Hippique je viens de validé un paris hippique par SMS mais je me suis tromper de course j'ai mis R5C7 au lieu de R7C9 pouvez vous me dire comment l'annuler ?,Sat Oct 12 16:22:29 +0000 2019,Thomas,924062753609920512,0,0
1183010200514715649,"A 11hoo, M.Delcher-Sanchez dit :
Avec Coeur de Pierre, on attend un peu et on le regarde courir.
Arrive 2eme a 32/1...
Merci a l'Entraineur qui connait parfaitement son Job en trompant les Parieurs @PMU_Hippique #legrandirect",Sat Oct 12 13:23:05 +0000 2019,AlbertLeCannois,1412008484,7,0
1182969373138534401,"pouvez-vous nous rendre le 4 sur 5 

ET

quand on a les cinq et qu'il valait mieux jouer SEULEMENT DEUX ! 

faut-il en trouver HUIT ?

c'est compliqué ! les comptes 

merci d'y songer @PMU_Hippique",Sat Oct 12 10:40:51 +0000 2019,Fanchon Fourguerolle Matricule n°5122 APATRIDE,337722792,1,1
1182947272713220098,"Je lance l'appli PMU Tracking et surprise : Tout a disparu !

Dites @PMU_Hippique, elles sont passées où les données ? Déjà périmées ? Ca aurait été trop généreux de votre part que de laisser ces 4 courses en guise d'amuse-bouche pour l'an prochain ?

#pastropviteleprogres [LIEN]",Sat Oct 12 09:13:02 +0000 2019,Turfogalop,1147097778335703040,1,0
1182731963892928515,"Retour @YonkersRaceway @PMU_Hippique @equidia samedi à partir de 20h30 pour le #InternationalTrot avec #BahiaQuesnot et Junior Guelpa au départ face à une redoutable coalition.
Le programme est ici : [LIEN] [LIEN]",Fri Oct 11 18:57:28 +0000 2019,YonkersFrance,2821813226,9,6
1182726629031841795,"Superbe reportage... C’est moderne et inspirant... Du travail et du glamour... un très bel outil de communication pour les courses hippiques. Bravo et merci @MickaelleMichel 👏
Inspirez-vous en @francegalop , @LeTrot et @PMU_Hippique !!! [LIEN]",Fri Oct 11 18:36:17 +0000 2019,Jean-Baptiste Brice,799962663287721986,3,0
1182545340861431808,"Coucou @PMU_Hippique, au Qatar dont vous faites la pub, le foot aussi  il pique. [LIEN]",Fri Oct 11 06:35:54 +0000 2019,Broony,273544408,1,0
