id,text,date,user,user_id,favorite_cnt,retweet_cnt
1183797849592598533,"🛑 Ma mère vient tout juste de se faire agresse à Gennevilliers par mohammed mon agresseur homophobe qui sera jugé en septembre prochain. 

@patrice_leclerc 
@Prefet75_IDF 
@Place_Beauvau 

@stop_homophobie 
@UHomophobie 

«...je vais vous tuer toi et ton fils... »

#revolter [LIEN]",Mon Oct 14 17:32:55 +0000 2019,Lyes Alouane 🇫🇷,984749907033710595,82,83
1183779638918766592,"Un phénomène qui se doit d'être sanctionné avant que cette hystérie, hors la loi, ne gangrène notre pays.

@EmmanuelMacron @CCastaner @Place_Beauvau [LIEN]",Mon Oct 14 16:20:34 +0000 2019,Vie De Pacha,1179121881301110786,2,1
1183764997207404544,"La division de #Lille de l'@ASN en première ligne pour informer le public. #campagneiode #radioprotection #PPI
@Place_Beauvau @SecCivileFrance [LIEN]",Mon Oct 14 15:22:23 +0000 2019,Autorité de sûreté nucléaire (ASN),122089763,1,0
1183764207864614912,Les #pompiers et agents des #SDIS de France seront nombreux demain à Paris ! Mais à priori @Place_Beauvau est fermée et les 2 ministres absents ! #consternant #mépris #intolerable,Mon Oct 14 15:19:15 +0000 2019,Frédéric PERRIN SPASDIS,120049769,2,1
1183761393843085313,De la #ViolencesPolicieres Encore et encore contre les familles de victimes cc @Place_Beauvau [LIEN],Mon Oct 14 15:08:04 +0000 2019,Denis Garnier,835625254651297792,0,1
1183758143169449994,Bonjour @UniversiteCergy : je souhaiterais dénoncer le roi du Maroc qui remplit tous les critères. Merci de faire remonter l’information au @Place_Beauvau ! [LIEN],Mon Oct 14 14:55:09 +0000 2019,Maurice H.,888506409838575617,5,0
1183757994116440064,[LIEN] ⁦@Defense_gouv⁩ ⁦@Place_Beauvau⁩ ⁦@Elysee⁩ ⁦@Matignon⁩ ⁦@gouvernementFR⁩ on est pas un peu nul là ? Voir même carrément mauvais ? J’ai pas confiance en vous pour assurer notre sécurité !,Mon Oct 14 14:54:33 +0000 2019,henidupuis2,1101998170878472194,0,0
1183744123376943104,"#Frontières - Nous travaillons aujourd'hui en commission @EP_Justice au déploiement des 10  000 garde-côtes pour protéger les frontières extérieures de l'UE
✅ Un engagement durant notre campagne @Renaissance_UE @agir_officiel @Place_Beauvau @SophieintVeld @jcoetjen @RenewEurope [LIEN]",Mon Oct 14 13:59:26 +0000 2019,Fabienne Keller 🇪🇺,83120914,19,12
1183742890763345920,"👮‍♂️👮‍♀️ Des postes d'adjoints de #securite sont à pourvoir dans le #GrandEst . Plus d'infos sur 👉 
[LIEN]
@PoliceNationale 
#Ardennes
@Place_Beauvau 
@Prefet67 
@PoliceNat57 [LIEN]",Mon Oct 14 13:54:32 +0000 2019,Préfet des Ardennes,2365347612,0,1
1183740280626917377,L'harcèlement administratif et policier organisé par @Place_Beauvau et @prefpolice continue contre Assa Traoré. [LIEN],Mon Oct 14 13:44:10 +0000 2019,Franck Mithieux,1050801972608204801,0,0
