id,text,date,user,user_id,favorite_cnt,retweet_cnt
1172386620093255680,#SachezLe &gt; @Decathlon City va ouvrir un magasin en plein centre ville de #Rouen (emplacement ancien Flunch) [LIEN],Fri Sep 13 05:48:46 +0000 2019,SabineRouenVelo,780684315579461632,16,4
1172394911770898433,😊🏄‍♀️💃Entering a #Decathlon Store Always Makes Your Day... @JTetrick équipée par @Decathlon#meetdecathlon [LIEN],Fri Sep 13 06:21:43 +0000 2019,Xavier Rivoire,4235184441,2,0
1172402051399053312,Aujourd’hui le #velo #velotaf s’imposait en ce jour de #greveratp #greves #greve13septembre !Merci @Decathlon @ParisEnSelle @geovelofr @brooksengland #strava [LIEN],Fri Sep 13 06:50:05 +0000 2019,Rodo83 ,48774756,3,0
1172417226353209344,Dimanche ces marathon de rouen @Decathlon @BBhotelsFR  la sep aura ma tête pas mes baskets !!!!! [LIEN],Fri Sep 13 07:50:23 +0000 2019,Ludovic Levistre 🏃‍♂️,1065509269745868800,7,1
1172420414070329344,Nouveau commerce : @Decathlon Decathlon s’attaque à la location par la face trekking. Ici &gt;&gt; [LIEN] [LIEN],Fri Sep 13 08:03:03 +0000 2019,Olivier Dauvers,185565166,3,0
1172427109672701952,"Ca cest a cause de @LesProLaitiers et @Decathlon , dites leur ils sont pas drôles [LIEN]",Fri Sep 13 08:29:40 +0000 2019,SwengoYuv,1134586169264615426,2,0
1172428035313696770,Retrouvez-nous demain à partir 10h sur le parking @Decathlon Amiens pour une initiation #Floorball  ! [LIEN],Fri Sep 13 08:33:20 +0000 2019,Amiens Floorball,2475701414,2,1
1172435798395764741,"Bonjour @Decathlon vous êtes au courant que votre appli à un gros beug ? Elle affiche des prix incohérent depuis ce matin, pour certains on ferme l'appli et on l'ouvre et chaque fois c'est toujours un prix différent. [LIEN]",Fri Sep 13 09:04:11 +0000 2019,Thomas,1074360112557498368,1,0
1172439129298108418,"Ne faites pas comme l'api @decathlon, qui renvoie un code HTTP 200, puis un json avec un code de réponse HTTP différent (qui croire…). Renvoyer un HTTP 403 était la solution sémantiquement correcte. [LIEN]",Fri Sep 13 09:17:25 +0000 2019,Clement Keirua,406174547,2,0
1172447283943620608,Toujours aussi bons sur la toile chez @Decathlon :) [LIEN],Fri Sep 13 09:49:50 +0000 2019,Sarah Sabé,310126538,0,0
1172448493933232129,"le @Decathlon #Riverside, une valeur sûre ! [LIEN]",Fri Sep 13 09:54:38 +0000 2019,tonygencyl ✏️ 🚲,456535535,1,0
1172463488029143046,En train de vivre ma meilleure vie de randonneur amateur 🤓 (sponsorisé par @Decathlon)#NouvellePhotoDeProfil [LIEN],Fri Sep 13 10:54:13 +0000 2019,Kevin Costa,2749512981,3,0
1172474162599878658,"Les éducateurs et dirigeants du Xlll Catalan, vous attendent tout ce week-end au Décathlon de Perpignan pour découvrir le rugby à Xlll au VitalSport!!! #13cat🏉 @DragonsOfficiel @Decathlon [LIEN]",Fri Sep 13 11:36:38 +0000 2019,XIII Catalan 🏉,817047463416725506,6,6
1172475704019173377,Super chez @Decathlon ils vendent plus que des Kipsta en chaussure de foot... Ma dernière paire de Kipsta m'a coûté 50€ et n'a pas tenu 3 semaines... Où puis je acheter des bonnes chaussures les footeux ? 😇,Fri Sep 13 11:42:46 +0000 2019,KǝɯoɥT,2758329912,1,0
1172497573346709505,"Cette semaine, c'est @Decathlon qui joue sur une communication décalée et impactante ! Mettre en avant ses produits tout en s'appuyant sur un contexte extérieur, le pari est réussi !Alors @PLOUPLOOU, vous êtes passé au vélo ? 😉 [LIEN]",Fri Sep 13 13:09:40 +0000 2019,ExterionMedia France,1014517874453635072,8,2
1172506007509118983,Les anciens prennent la parole face aux 1ere année pour parler de leurs parcours. Kim est aujourd'hui responsable communication chez @DECATHLON à 26 ans. [LIEN],Fri Sep 13 13:43:10 +0000 2019,ISCOM Lille,234346239,9,1
1172533683498172424,"Hello la team @Decathlon, savez-vous quand le velo route triban RC100 orange sera de nouveau disponible à la vente?? Nous souhaitons l'offrir à notre fils qui aura 12ans le 3 octobre. C'est jouable ou devons-nous reporter le début de sa grande carrière de cycliste? Thanks",Fri Sep 13 15:33:09 +0000 2019,batiston,1558994036,0,0
1172537337185787904,Bon @Decathlon j’ai toujours dit du bien de ton atelier vélo. Mais là c’est plus possible c’est devenu n’importe quoi. 😡😡😡,Fri Sep 13 15:47:40 +0000 2019,Fab,154958032,3,0
1172542241509953536,"[Agilité] Ce week-end, nos lycéens de 1ère Bac Pro Vente &amp; Commerce @ecolesccid seront en situation pédagogique professionnelle d'accueil des visiteurs du #vitalsport de notre partenaire #decathlon #boulazac !@Decathlon @VilledeBoulazac #ecolesccidordogne #letalentrestehumain [LIEN]",Fri Sep 13 16:07:09 +0000 2019,ecolesccidordogne,872100093364756480,3,1
1172543922763157510,"Merci #PerfectDraft, ⁦@Decathlon⁩ #kwak. Un peu d’astuce, d’espièglerie, quelques pains de glace, et on a de la pression sans électricité. [LIEN]",Fri Sep 13 16:13:50 +0000 2019,𝙻𝚎 𝙲𝚘𝚢𝚘𝚝𝚎 🎙,4182456795,8,0
1172568897888948224,"Merci @decathlon Aquaboulevard, casque de vélo remplacé  pour défaut jugulaire sans discussion et avec le sourire. Equipe au top, ca donne envie de revenir. Bon we !",Fri Sep 13 17:53:05 +0000 2019,Shmir,923220532283179009,0,0
1172570509353111553,"✅ Premier gagnant du concours : @Cleophele , bravo à toi 😀 Tu remporte grâce à @MaevaDanois, 1 carte cadeau @Decathlon d’une valeur de 100 euros ainsi que le pack @LSportives 🎁🎁 @XavRiv @FFAthletisme @INSEP_PARIS @Occitanie @NadiaPellefigue @kamelchibli @MarleneSchiappa [LIEN]",Fri Sep 13 17:59:29 +0000 2019,Le Collectif des Sportives,1045061135735689217,8,1
1172575423538114560,"✅ Second gagnant du concours : Stéphanie Salpointe (Facebook), bravo à toi 😀 Tu remporte grâce à @MaevaDanois, 1 carte cadeau @Decathlon d’une valeur de 100 euros ainsi que le pack @LSportives 🎁🎁 @XavRiv @FFAthletisme @INSEP_PARIS @Occitanie @NadiaPellefigue @MarleneSchiappa [LIEN]",Fri Sep 13 18:19:01 +0000 2019,Le Collectif des Sportives,1045061135735689217,4,0
1172614399938498560,J’ai acheté un rouleau de massage les reufs c’est la meilleure invention du siècle merci @Decathlon,Fri Sep 13 20:53:53 +0000 2019,le doce,629369432,0,0
1172728737101746177,Ben je sais pas dans quelle école tu es...Section internationale...🤣🤣🤣Il y a que là que tu puisses entendre ça..  Et le pauvre môme qui est resté chez lui... sans promo chez @Decathlon pour acheter un ballon.Les ballons l'été ce devrait être gratuit. Ça ferait des vacances [LIEN],Sat Sep 14 04:28:13 +0000 2019,#IAMUMAN - Eau_mère pour les in_times,1157905855691546624,2,1
