id,text,date,user,user_id,favorite_cnt,retweet_cnt
1183725887201648640,"Retrouvez le replay de l’émission de @kamilabderrahmn qui traitait cette semaine de veganisme et d’antispecisme avec nos invitées Hocine Sekkiou, nutritionniste et chercheur en biochimie, et Florimond Peureux porte parte du @PartiAnimaliste 

[LIEN]",Mon Oct 14 12:46:58 +0000 2019,SALADE TOMATE OIGNON TV,1125097173681618946,0,1
1183672940472229888,14/10/2019 - Elections européennes : audience cruciale au Conseil constitutionnel demain ! [R. Rambaud] suite une question prioritaire de constitutionnalité (QPC) du @PartiAnimaliste [LIEN],Mon Oct 14 09:16:35 +0000 2019,Sylvain RANCIEN 🇨🇵,272066727,0,0
1183669873760751619,"Question : avec 2,2% des voix aux européennes, 490 000 personnes attachées à leur animal de compagnie ont voté pour le @PartiAnimaliste... qui souhaite l'arrêt de l'exploitation de l'animal par l'homme et donc la fin des animaux de compagnie !? C'est ça ?
[LIEN]",Mon Oct 14 09:04:24 +0000 2019,Hervé Le Prince,1215860490,20,10
1183651928443703296,"Moi je ne retiens qu’une chose 😡😡@30millionsdamis @anymalworld @l214 @StephaneLAMART @onevoiceanimal @SeaShepherdFran @CRAC_Europe
@SibethNdiaye @dguillaume26  @Elisabeth_Borne @EmmWargon @CCastaner @YLeBolloch @PartiAnimaliste @nqtv @anymalworld @brigitte_bardot [LIEN]",Mon Oct 14 07:53:05 +0000 2019,HUMANI,2493916777,3,4
1183339488384372736,"En me promenant dans mon jardin, je vois de l'autre côté, à 80 cm de ma clôture, une patte de sanglier... bienvenue à #Romorantin, ville de #Sologne. Qui l'a déposée là ? Reste de chasse ? Écœurant.  @30millionsdamis  @onevoiceanimal  @LigueDesAnimaux @PartiAnimaliste [LIEN]",Sun Oct 13 11:11:34 +0000 2019,Florence Chps,182810533,16,10
1183273249393782784,"Un projet ambitieux qui peut épargner des millions de vaches, de veaux, de chèvres et de chevreaux #LesAnimauxComptent #LeVegetalCestMaintenant @L214 @PartiAnimaliste  [LIEN]",Sun Oct 13 06:48:21 +0000 2019,Pascaline Wittkowski,950076753149616128,0,1
1183101696534290432,"L'#instrumentalisation des #chiens de #chasse pour manipuler et capter quelques voix lors de la grande kermesse européenne ne dérange pas le @PartiAnimaliste.

Il faut dire qu'avec un #programme #monothématique basée sur la #niaiserie et la #béatitude ça ne va pas aider la France [LIEN]",Sat Oct 12 19:26:40 +0000 2019,RV,960687469,14,2
1182951701248204800,"Le @PartiAnimaliste en soutien à l'action Antichasse du 05/10 organisée par @onevoiceanimal à Montpellier aux côtés d'associations animalistes pour dénoncer cette pratique inutile, injuste et génératrice de souffrances pour les animaux.
#Lunionfaitlaforce [LIEN]",Sat Oct 12 09:30:38 +0000 2019,Eddine Ariztegui,862313790121144322,35,11
1182734477220601856,"#ZENPP très déçu par l'intervention de @VenturaAlba sur la cause animale.
- Vous dites être pour le bien-être animal et pour la corrida ? Aucune cohérence. 
- ceux du @PartiAnimaliste ne sont pas des ""extrémistes"". 
- oui l'antispécisme veut reconnaître un statut aux animaux 1/2",Fri Oct 11 19:07:28 +0000 2019,Thibaut Martini,1380182095,1,1
1182363216292265984,"Alerte, marcassins en danger, leur mère a été abattue, depuis ils errent dans les jardins des riverains et pourraient être tués à leur tour. Que faire? @PartiAnimaliste 
[LIEN]",Thu Oct 10 18:32:12 +0000 2019,Vincent Thorin,1090949658929758208,32,42
1182345266847981570,"Ça suffit, ils doivent rendrent des comptes et être condamnés,  les gendarmes doivent être EXEMPLAIRES @30millionsdamis @PartiAnimaliste @FBB_Com [LIEN]",Thu Oct 10 17:20:53 +0000 2019,ChristineB,993563579294076929,3,2
1182227815879659521,"🎙Aujourd'hui, Pass'Politique te propose d'aller à la rencontre de @LaureGisie, 24 ans et co-présidente du @PartiAnimaliste !

""C’est à plusieurs que nous changerons notre société. Mais il ne faut jamais oublier le pouvoir d’un seul individu.""

[LIEN]",Thu Oct 10 09:34:10 +0000 2019,Pass'Politique,1125361815729385472,6,2
1181858637444243456,"Interdire l’accès des corridas (gratuit en plus) aux enfants est normal mais  l’inverse c’est de la MALTRAITANCE ,même l’ONU demande l’interdiction 👍👏👏@dguillaume26 @Anticorrida @PartiAnimaliste @FBB_PORTEPAROLE @CRAC_Europe @FLACinfos [LIEN]",Wed Oct 09 09:07:11 +0000 2019,Jean Michel,2956311010,6,2
1181855913151467520,"L'écologie libre des partis est forte, stop à l'écologie de droite, puis de gauche ou du centre voire des extrêmes.
Il n'y a qu'une seule écologie, celle qui est libre et citoyenne.

#FranckBracquemart
#Coulommiers

@yjadot
@david_belliard
@paulin_fly
@PartiAnimaliste

@JMRochet [LIEN]",Wed Oct 09 08:56:22 +0000 2019,Franck Bracquemart,3448315829,3,1
1181841376427814912,"«Dans plusieurs laboratoires français, on a par exemple déjà greffé des cellules tumorales pour tester des cancers chez les animaux» explique encore Hervé Chneiweiss.@libe @PartiAnimaliste @CAPpolitique @animaux_planete @BoohVegan @FAAOfficiel @L214",Wed Oct 09 07:58:36 +0000 2019,Sinclar,139781268,0,0
1181777981355757570,"Encore une fake new démasquée ne jamais croire.  @onevoiceanimal @MurielArnal @DiancechtMapono @PartiAnimaliste @CaccContact @AvaFranceOff @RigauxNature @L214 et consort.  Ces gens sont des manipulateurs 

[LIEN]",Wed Oct 09 03:46:41 +0000 2019,Rémy  🐶🐶,754226002033799169,10,4
1181693280389619714,"Seul débat 🇨🇵 sur le sujet des safaris chasses @CNEWS 
@julieLasne éthologue spécialiste et @CathHelayel @PartiAnimaliste face à un nervis du fusil en Afrique 
Intégrale ici 👇
[LIEN]

Bravo pour votre courage!

#BanTrophyHunting #SnuffTourism #TraduisonsLes [LIEN]",Tue Oct 08 22:10:07 +0000 2019,Tigrenlion,4902463719,7,6
