id,text,date,user,user_id,favorite_cnt,retweet_cnt
1183784330461679617,Quand les éléments se déchaînent sur la @RegionNormandie @TERNormandie @TERHDF #VueDuTER 🌩 [LIEN],Mon Oct 14 16:39:12 +0000 2019,Le Ruen,452134663,0,0
1183783667845468161,"Hello @TERHDF !
Nous sommes bloqués dans le 841244 à Lesquin, savez-vous ce qu'il se passe et quand allons-nous redémarrer ?
Merci ! 😉",Mon Oct 14 16:36:34 +0000 2019,Thomas Lacquemant,2186193679,0,0
1183780689143128069,"🔴 La circulation est actuellement interrompue entre Angers et Nantes. Nos agents sont actuellement mobilisés pour dégager les nombreux arbres qui sont tombés sur les voies à cause de l'orage.
Le fil @TERPays2LaLoire vous informe sur le trafic de cette ligne.",Mon Oct 14 16:24:44 +0000 2019,Rémi Train Centre Val de Loire,777792064545259520,0,0
1183777919392534528,"Bonjour @TERHDF , quel est le premier train qui va partir pour Béthune de Lille Flandres ? Quelle voie et quelle heure ? Merciiii",Mon Oct 14 16:13:44 +0000 2019,Cloé ⭐️⭐️,2616769906,0,0
1183777789239087107,"Constat depuis 1 semaine pour Nimes Avignon @TER_Occitanie vos trains ne sont jamais à l'heure.
Et même supprimés
#nimes #avignon #sncf @SNCF @MidiLibreNimes @objectifgard @GazettedeNimes [LIEN]",Mon Oct 14 16:13:13 +0000 2019,Jean Wiewen,1165983408264294405,1,1
1183767667725033477,"L'orage de cet après-midi a entraîné une interruption du trafic des tramways @reseau_tan  et des @TERPays2LaLoire 
[LIEN]",Mon Oct 14 15:32:59 +0000 2019,Presse Océan,19283676,3,1
1183767492461780993,"Bonjour @TERHDF 
Qu'en est-il du TER 842433 ?
Je l'attends à Lille CHR. 
Merci",Mon Oct 14 15:32:18 +0000 2019,B&W,870081366,0,0
1183759366198972416,"Soumise aux associations d’usagers, la nouvelle grille horaire du transport ferroviaire en #Normandie a fait l’objet d’une série d’ajustements @TERNormandie @SNCF #transports ⬇
[LIEN]",Mon Oct 14 15:00:00 +0000 2019,paris_normandie,17777823,1,1
1183758306197856257,Bonjour @Actu_Transilien @RERB @TERHDF : serait-ce possible d'avoir des informations concernant les trains de la ligne K qui sont bloqués ? Savoir jusqu'à quelle heure on est censé attendre vu qu'il y a zéro information en gare 🤗,Mon Oct 14 14:55:48 +0000 2019,Julie Ragot ☕️,2411235099,1,0
1183756203421294597,Bonjour @TERPays2LaLoire est-ce que le trafic des TER Nantes/Angers va être fortement perturbé vers 18h ? Merci.,Mon Oct 14 14:47:26 +0000 2019,TER_en_avance,1087969047193501698,0,0
1183755090689171456,"Le Reseau ligerien est perturbé par les orages qui traversent notre territoire. Les agents @SNCFReseau se rendent sur l ensemble des points touchés 
@TERPays2LaLoire [LIEN]",Mon Oct 14 14:43:01 +0000 2019,Alexandre NICOLLET,3813409815,3,2
1183748034267701249,"5eme fois depuis le début du mois que mon train est annulé, en retard, en panne, inexistant, en grève ou autre. Vous en avez pas marre @TERGrandEst ? C'est intolérable vu le prix de l'abonnement !",Mon Oct 14 14:14:59 +0000 2019,Madou,1408776841,1,0
1183736929826885632,"Pour soutenir les enfants harcelés et leur permettre de vivre mieux, merci de soutenir les #maisondeMarion #lamaintendue  par un petit don ;-) La société #Factum rajoute 1€ tous les 3€ donnnés :  [LIEN] @TERGrandEst",Mon Oct 14 13:30:51 +0000 2019,EricTee ⭐️⭐️,1093092626,1,1
1183727466717818886,"Hello @TERHDF le TER 2014 a bien été supprimé ? Je suis arrivée 10min avant à la gare de Longueau, la mention « supprimé » était affichée. Je souhaiterais me faire rembourser mon billet, mais je ne trouve aucune confirmation de cette suppression... Merci de votre aide",Mon Oct 14 12:53:15 +0000 2019,marinesdiary,700359112,0,0
1183724558349688832,Orage à #Nantes mais il y a tjrs des warriors @TERPays2LaLoire  💪 [LIEN],Mon Oct 14 12:41:41 +0000 2019,Khaly DeThylis 🐳,14091271,3,1
1183723999001501697,Le tram-train dans l’ouest lyonnais @SNCF @SNCFTERAURA @ALTAMETRIS @CstmarcGeo @jp630001 [LIEN],Mon Oct 14 12:39:28 +0000 2019,Aura Drone,1169459826746900480,2,0
1183720589292396544,Aujourd'hui demi tour Brive-la-Gaillarde avec le 871644 et le 871617 @TER_Occitanie,Mon Oct 14 12:25:55 +0000 2019,Christophe Payrastre,1320866274,4,1
1183664992303882240,Oh @TERHDF soit vous percutez soit je vous percute mais faut faire qqch. Pk le 2014 est supprimé ?,Mon Oct 14 08:45:00 +0000 2019,French Devil,4187923156,0,0
1183635726870732800,"Salut @TERPays2LaLoire ! En direct du TER 859104. Peux-tu m’expliquer pourquoi à #SGXV le train a été délesté de sa 2e rame, engendrant un retard d’1/4h, tout ça pour que les arrivants depuis Port-Saint-Père soient contraints de voyager debout jusqu'à #Nantes ? 🧐🙄 #SNCF #TER",Mon Oct 14 06:48:42 +0000 2019,Marlène Collineau,100962811,0,0
1183635268697575425,Une nouvelle semaine commence #sardines @SNCF @TERGrandEst @Rikouu_pw [LIEN],Mon Oct 14 06:46:53 +0000 2019,Lizi,65361813,0,0
1183627142283907072,"Encore un retard d’au moins 10mn sur le Lille Saint Quentin de 8h06 mais rien d’affiché ni sur l’appli, encore merci @TERHDF",Mon Oct 14 06:14:36 +0000 2019,AliceDeCaz,591959233,0,0
1183620739964063744,"Bonjour, retard prévu sur le Mantes &gt; Vernon? Car le Transilien J Paris &gt; Mantes est bien en retard, et nous risquons de louper notre correspondance ! @TERNormandie",Mon Oct 14 05:49:09 +0000 2019,Gwenaelle Oudart,2784173446,0,0
1183618801667104768,Après la crasse la panne ! Pas de train a st Hilaire de Riez! Merci de nous prévenir 😡@TERPays2LaLoire @JClBlanchard [LIEN],Mon Oct 14 05:41:27 +0000 2019,Jean-Patrick Fillet,2610041641,3,5
1183618323432521729,Pourquoi un TGV inoui ce matin entre la Gares de Gieres et de Grenoble ? 😲 @SNCFTERAURA,Mon Oct 14 05:39:33 +0000 2019,Kevin38Audemard,4836256175,1,1
1183616545643204608,La sortie tardive du dépôt de @SNCFTERAURA qui te met de bonne humeur le lundi matin. Et faut que ça tombe le jour d’évaluation de mes élèves ...,Mon Oct 14 05:32:29 +0000 2019,Caroline,1372725949,1,0
1183613939332145152,Mais il manque des amenagements pour rentrer sur Toulouse en @TER_Occitanie à 18h16. @2Pieds2Roues. Les etudiants en velo + les  groupes velos: 18 velos dans regio2N pour 4 places prevues. #teroccitanie [LIEN] [LIEN],Mon Oct 14 05:22:08 +0000 2019,ManuTls@,1176998993534038016,0,0
1183613869777833985,886106 a l'heure @SNCFTERAURA  ? Merci,Mon Oct 14 05:21:51 +0000 2019,Olivier K,2329953641,0,0
1183606862060707840,Et sinon ça se passe comment la non-assistance à personne en danger à la @SNCFTERAURA @SNCF ? On vous signale un malaise par téléphone au 3117 et personne ne bouge ? On frappe à la porte de la contrôleuse mais elle reste bien planquée ? Inadmissible !,Mon Oct 14 04:54:00 +0000 2019,Cindy,566468800,0,0
1183605146577715201,"1h39, 1h29 pour faire un Rouen-Paris. Existentiellement  c'est pas rentable, faut déménager fissa à Bordeaux ! @TERNormandie cc @UsagersSNCF",Mon Oct 14 04:47:11 +0000 2019,La Technique,53016032,0,1
1183602148728287232,"Bonjour @TERHDF !
Le train n°843753 à destination de Cambrai à bien un retard de 30 minutes? 
Merci!",Mon Oct 14 04:35:17 +0000 2019,clarisse,2737165743,0,0
1183599944625729537,"On commence bien la semaine avec le 06h27 depart de Thionville supprimé...
Des commentaires @TERGrandEst ?!
@TER_Metz_Lux
@SNCF
@avtermel",Mon Oct 14 04:26:31 +0000 2019,CameBackHaunted,288452630,4,1
1183445799751036928,"Bonjour @ouisncf @TERGrandEst Je cherche à reserver un billet pour le 5/01, j'arrive pas à avoir le tarif jeune. On me propose que le tarif normal. Vous pouvez m'aider ?",Sun Oct 13 18:14:00 +0000 2019,Coco,600196058,0,0
1183442010918834177,"Hé @TERNouvelleAQ on est le 13 octobre, coupez la clim please on se gèle dans vos trains...",Sun Oct 13 17:58:57 +0000 2019,Milie Scoresby |:|,529678110,3,0
1183419356006572035,"3 places de vélos dans un TER bondé  ! @TER_Occitanie @jmlattes @SNCF c'est une blague !! Vous pronnez la mobilité, les transports en commun par contre pas de places vélo ! Mais quelle arnaque ! #montrejau #Toulouse il va falloir sérieusement remettre en question votre offre [LIEN]",Sun Oct 13 16:28:55 +0000 2019,Julie Batmale,784407294071234560,1,0
1183407018410942465,Bientôt 5000 abonnés pour @TERPays2LaLoire 😉,Sun Oct 13 15:39:54 +0000 2019,Aurélia,1397945784,10,0
1183402687876009985,on ne peut que soutenir de telles décisions ce qui n'est pas le cas partout voir les #gabegies au fin fond de certains coins de France  @JPFarandou @SNCFReseau @PhilippeDuron @Courdescomptes @EU_Commission @Bulc_EU @NvelleAquitaine @TERNouvelleAQ @VilleOloron @Prefet64 [LIEN],Sun Oct 13 15:22:42 +0000 2019,francis courssensy,3242078445,1,0
1183378339563790342,"Bonjour à tous ! 
Votre @TERPays2LaLoire 860123 à destination du Croisic est en place voie i en gare de Tours et vous attends. Je vous souhaite un bon dimanche et un bon voyage 🙂 [LIEN]",Sun Oct 13 13:45:56 +0000 2019,Gayl⭕️rd - C⭕️nducTER 🚂,814114538341761024,14,0
1183366041407250432,Belle solidarité cheminote dans mon @TERGrandEst  qui vient de rencontrer un arbre. Tout le monde est en action 👏 @GroupeSNCF,Sun Oct 13 12:57:04 +0000 2019,Caroline Le Guellec,2949290536,7,0
1183328475115118593,"On en parle ou pas ? 🙇‍♂️ @UsagersGivors 
@SNCFTERAURA [LIEN]",Sun Oct 13 10:27:48 +0000 2019,jyds,3366986801,0,0
