id,text,date,user,user_id,favorite_cnt,retweet_cnt
1183375220561928195,"Le deuxième jour des #Worlds2019 qui débute avec une game absolument insane entre #SKT et #RNG 🔥🔥

 @LoL_France juste le meilleur jeu esport en fait 👊🏻",Sun Oct 13 13:33:33 +0000 2019,Windlike,1062407622064816128,0,0
1183372093674659840,"Je cherche deux places pour la finale des Worlds League of Legends à Paris, DM ouverts.

Looking for 2 tickets for the World final LOL in Paris DM open #Worlds2019  #LeagueOfLegends @LoL_France @lolesports_fr @AccorH_Arena ❤️",Sun Oct 13 13:21:07 +0000 2019,Aeglorus,1118141424514600966,0,1
1183338946333499392,Petit malphite du matin :3 #LeagueOfLegends @RiotGamesFrance @LoL_France [LIEN],Sun Oct 13 11:09:24 +0000 2019,Yosuke,1261755050,2,0
1183327905801220096,"C'est trop dur pour moi 😭😭😭
@LoL_France 
#LeagueOfLegends #ahri [LIEN]",Sun Oct 13 10:25:32 +0000 2019,A2Bhri,4894080291,1,0
1183321470077984768,"Je cherche 5 places pour la finale des Worlds League of Legends à Paris ! 
 #Worlds2019  #LeagueOfLegends @LoL_France @lolesports_fr @AccorH_Arena",Sun Oct 13 09:59:58 +0000 2019,Y̸a̸n̸n̸ ⛓,2225286536,0,0
1183290855802540033,Akali K/DA de @LoL_France a vraiment été mon crush à créer cette année en cosplay 😍 [LIEN],Sun Oct 13 07:58:19 +0000 2019,Ynotece,2435646844,71,5
1183195801855713280,"Hey, @LoL_France @RiotGamesFrance @LeagueOfLegends puisque vous vous êtes dis que lâcher une quantité de skin astronomique dont un potentiel skin Louis Vuitton était une bonne idée : Je vous rappel que Bard n'a que 3 skins et que du coup il est open pour lâcher un skin beurette [LIEN]",Sun Oct 13 01:40:36 +0000 2019,MohammedCouscous,3306749944,0,0
1183158887165419521,Je crois que @NintendoFrance ont copié sur Qiyana de @LoL_France 😂😂 [LIEN],Sat Oct 12 23:13:55 +0000 2019,ⱣȺᵾŁØ,1131503994881400832,0,0
1183127013969801216,"C est fou le nombre de discours haineux et à caractère sexuel qu'il peut y avoir dans le fil de discussion du jeu #LeagueOfLegends 
@LoL_France il serait temps de réguler un peu non , qu en pensez vous ?
Je vous propose un mute d une semaine a chaque fois 🤔 [LIEN]",Sat Oct 12 21:07:16 +0000 2019,elcp72,3242571923,3,0
1183084870781820929,"Une préférence ? Non. Enfin... #lolwootbox

Vous nous gâtez ! Un grand merci ! @LoL_France @wootbox_fr [LIEN]",Sat Oct 12 18:19:48 +0000 2019,Phénix du Xibaldos,1449071851,0,0
1183058855993004032,Elle va pouvoir rejoindre sa grande sœur #LOLWOOTBOX @wootbox_fr @LoL_France [LIEN],Sat Oct 12 16:36:26 +0000 2019,Xaco,1263102787,1,0
