id,text,date,user,user_id,favorite_cnt,retweet_cnt
1183806285780865024,Distributeurs et sociétés ayant banni les oeufs de batterie | Éthique et animaux [LIEN] via @L214,Mon Oct 14 18:06:27 +0000 2019,Amie des animaux,871290828194500608,2,1
1183804120383266816,Stop @dguillaume26! Cessez d'agir contre les animaux sauvages [LIEN] #StopChasse via @Pol_animaux @L214,Mon Oct 14 17:57:50 +0000 2019,FR-91,2899501468,1,1
1183795690289414151,"Vidéo aux abattoirs de Mauléon : une amende de 10000 € requise contre @L214
[LIEN] [LIEN]",Mon Oct 14 17:24:21 +0000 2019,La Rép des Pyrénées,75099500,0,2
1183754241904697344,"Merci à @L214 pour cette réunion du 20/10 à 10h30 « pour en finir avec l’élevage intensif » rue de la République face à la brasserie Chez Victoria 06600 Vieil Antibes (Tél 0660775195). Tout le monde est bienvenu, même @ECiotti, le caniche de #MarineLePen, car on aime les chiens.",Mon Oct 14 14:39:39 +0000 2019,bernard blanc,191439795,1,2
1183695668243849218,"#hippopotame #cirque #CirquesSansAnimaux #SouffranceAnimale @PartiAnimaliste @L214 @ParisZoopolis @PETA_France @LachaudB @younousomarjee 
« Une vie entière de solitude » [LIEN]",Mon Oct 14 10:46:53 +0000 2019,Daniel Brobecker,2552546485,0,0
1183670018539769856,Mercredi à #Toulouse : de la #viande humaine en barquette [LIEN] via @ladepechedumidi @L214,Mon Oct 14 09:04:58 +0000 2019,Carole Mare,4860751439,1,1
1183655383010811905,"“La pisciculture, un autre visage de l’élevage intensif”, l’enquête de l’organisation de défense des animaux Compassion Over Killing @TryVeg diffusée par @L214  [LIEN] [LIEN]",Mon Oct 14 08:06:49 +0000 2019,Hello La Terre,1181493136452919297,1,1
1183651928443703296,"Moi je ne retiens qu’une chose 😡😡@30millionsdamis @anymalworld @l214 @StephaneLAMART @onevoiceanimal @SeaShepherdFran @CRAC_Europe
@SibethNdiaye @dguillaume26  @Elisabeth_Borne @EmmWargon @CCastaner @YLeBolloch @PartiAnimaliste @nqtv @anymalworld @brigitte_bardot [LIEN]",Mon Oct 14 07:53:05 +0000 2019,HUMANI,2493916777,1,0
1183636433833283584,"Burgers vegan : attention à la « fake food » made in USA (merci @L214 !)
Ultra-transformé, bourré d’OGM et hypercalorique, le burger vegan vendu en fast-food est donc plus toxique qu’un Big Mac. Et en plus, il est plus cher ! [LIEN]",Mon Oct 14 06:51:31 +0000 2019,Hervé Le Prince,1215860490,14,13
1183628045845966848,"🚨 NOUVELLE ENQUÊTE 🚨 Des vaches à hublot, en 2019. Ça existe encore ! La preuve : [LIEN] Stop aux vaches à hublots ! @gouvernementFR @L214",Mon Oct 14 06:18:11 +0000 2019,Yan-Pi,3356088531,0,0
1183615606253379584,"#lanimalismeunproblememortel 

@L214 @onevoiceanimal @30millionsdamis @anymalworld @PETA_France @FBB_PORTEPAROLE @SPA_Officiel @coquelicots_ @EELV @UEcologie @GEcologie

Un petit commentaire sur vos actions menées sur le sujet ?

@Min_Ecologie @Min_Agriculture @MinSoliSante [LIEN]",Mon Oct 14 05:28:45 +0000 2019,RV,960687469,3,1
1183611914565439488,"- 2017: 8 intrusions dans les élevages
- 2018: 16...
- 2019: 41...

➡️18 mois de prison dont 6 ferme requis contre @solveig_halloin &amp; Vincent Aubry, de Boucherie Abolition 👏
➡️Mais quid de #DxE &amp; @L214 ? 🙄
[LIEN]",Mon Oct 14 05:14:05 +0000 2019,Franc Aller,973623879334756353,12,6
1183475446157103105,Une excellente initiative. #ecologie #nature #environnement #biodiversite #insolite #vegan #vegans #restaurantuniversitaire #restaurantsuniversitaires #lundivert #etudiant #etudiants #scolarite #vegetarien #vegetariens #vegetarienne #vegetariennes #l214 @L214 [LIEN],Sun Oct 13 20:11:48 +0000 2019,la vie zen,1167498745916940288,1,0
