id,text,date,user,user_id,favorite_cnt,retweet_cnt
1183275923652644865,"DE BONS GESTIONNAIRES ou TAXES A VENIR ?

L'EPR de Flammanville (EDF) budgété à 3,3 Milliards € en 2007. + de 10 ans après, la facture finale sera de 12,4 Milliards €.

Qui n'aurait pas de compte à rendre dans le privé pour un tel écart ( @AssembleeNat , @EDFofficiel ) ? 😉🇫🇷",Sun Oct 13 06:58:59 +0000 2019,JOHN-NR 2025,1059152095,11,11
1183071911493931008,"Toujours un plaisir de participer à la @FeteScience au @CHMLewarde : au programme sur le stand @EDFofficiel : casque #VR, #maquettes, #testeurs de piles et bien d’autres animations ! Rendez-vous demain dès 14h ! [LIEN]",Sat Oct 12 17:28:18 +0000 2019,EDF Bouchain,2238968550,10,2
1183069298203484160,"Vive l ultra libéralisme, payer plus cher, plus de chômeurs, plus de pauvre, pour des riches encore plus riche, cela frise le ridicule crevé avec des milliards en banque il y a de quoi rire, aller @EDFofficiel  encore une #pub sur l économie d énergie ?
[LIEN]",Sat Oct 12 17:17:55 +0000 2019,Saint-Père,3092579248,0,0
1183014627661287425,"Dans le cadre de la #FêteDeLaScience 2019, @gourmaud_jamy 🤓 s'est associé au groupe #EDF pour la réalisation d'une websérie de cinq épisodes pour parler d'#électricité !💡Retrouvez la série ""EDF fête la Science avec Jamy"" sur le compte Twitter d'@EDFofficiel 🔬 [LIEN]",Sat Oct 12 13:40:41 +0000 2019,EDF Chooz,1136471042,16,2
1182987292023164928,"Pendant que les journalistes s’emballaient, d’autres passaient leur temps libre à comprendre d’autres phénomènes..
Tu nous tiens au courant @EDFofficiel ....
#AutoPromo #Nantes #XDDL [LIEN]",Sat Oct 12 11:52:03 +0000 2019,❎Jérômeن❤️➡❄☕⛵♻♛♔❎,340620842,0,0
1182960649330143232,"Je ne comprends pas l'offre reçue @UFCquechoisir, l'offre lauréate électricité de @ekWateur est plus chère que ce que pratique @TotalSpring tout au long de l'année ! alors qu'il devrait avoir une différence entre -10% et -16% par rapport au tarif réglementé de @EDFofficiel !!!",Sat Oct 12 10:06:11 +0000 2019,Andréa ('ت'),750001272,0,0
1182942354384273409,Assemblée Générale WiN France et Convention annuelle @sfen @sfenjg  @CEA_Officiel @EDFofficiel [LIEN],Sat Oct 12 08:53:29 +0000 2019,WiN France,712360579760070656,0,0
1182935406859423744,"Dites donc @EDFofficiel quand votre technicien a rdv à 10h, en fait il faut entendre qu’elle heure? C’est pas que, mais j’ai autre chose à faire un samedi matin que d’attendre ...",Sat Oct 12 08:25:53 +0000 2019,Thomas Fageole,862004122521923587,3,1
1182734622603595782,"La fête de la science , c'est aussi à #SaintNazaire :  demain #villagedessciences à Gavy @PolytechNantes  pour tous les publics, 
avec @UnivNantes @IUTStNazaire @LaboGEPEA @EDFofficiel  @CesiOuest ...
@Fetescience44 @FeteScience
@paysdelaloire @acnantes [LIEN]",Fri Oct 11 19:08:02 +0000 2019,JeanLouisKerouanton,432735386,10,2
1182702706693160961,"Bien vu ! Pour nos infrastructures critiques, une perspective repoussoir... @enedis @EDFofficiel @cezocsud [LIEN]",Fri Oct 11 17:01:13 +0000 2019,Jean Paul MONET,1288712670,1,0
