id,text,date,user,user_id,favorite_cnt,retweet_cnt
1183342423084322816,C est à quelle heure l événement sur fortnite ?  @FortniteGame @FortniteFR,Sun Oct 13 11:23:13 +0000 2019,RennesFC59,788109319179005952,0,0
1183339997560111104,"N'hésitez pas à prévenir Epic Game et @FortniteFR de ce bug , #FORTNITE #NintendoSwitch [LIEN]",Sun Oct 13 11:13:35 +0000 2019,YAlpha,1121891345726095361,1,0
1183311199804514305,"Est ce que j'ai hâte d'être ce soir 20h ? 
ABSOLUMENT ! 
@FortniteFR",Sun Oct 13 09:19:09 +0000 2019,Cynthia,434850828,1,0
1183286388575395840,"Ce soir je tourne sur #Fortnite pouf voir la #FortniteSeason11
@FortniteFR [LIEN]",Sun Oct 13 07:40:34 +0000 2019,ALLOSAURUSMP4,1144532246096961537,0,0
1183235311582765056,mais je comprend pas la saison est à quelle heure ? @FortniteFR,Sun Oct 13 04:17:36 +0000 2019,XV AIROZZ,1173315888495366145,1,0
1183191574127300609,"Nouvelle vidéo sur ma chaîne @YouTube ou je parle de la mort de Fortnite, Apex passe en tête? @FortniteFR
[LIEN]",Sun Oct 13 01:23:48 +0000 2019,Léo!,1060709397880602630,0,0
1183164053386072065,"on a beau cracher sur @FortniteFR, c'est vraiment le meilleur jeu du monde bordel, la ou on a passer nos meilleurs moments depuis 2 ans",Sat Oct 12 23:34:27 +0000 2019,💀💀,1048076088704999424,1,1
1183159094309470209,"Moi j’dis que @FortniteGame @FortniteFR nous troll et que l’image tease avec écrit chapitre 2 c’est pour sauver le monde on peut le voir avec les skins les bateaux la maps les graphismes donc personnellement je pense sa, parce que c’est quand même gros de faire autant de la merde",Sat Oct 12 23:14:44 +0000 2019,CODE TARWOZ,1080644465029775360,1,0
1183126409692270593,Je suis mega hype @FortniteFR pour demain soir ❤️🔥🔥😍,Sat Oct 12 21:04:52 +0000 2019,Quentin Mahancio,925037252,0,0
1183105022005043200,"Dites moi @FortniteFR , comment on fait pour les avoir ? J’ai fait tout les défis [LIEN]",Sat Oct 12 19:39:52 +0000 2019,Mustik,1002193850071502848,0,0
1183096077865705474,#FortniteChapter2 c'est demain ! Sur @FortniteFR,Sat Oct 12 19:04:20 +0000 2019,Funite - French Fortnite Leaker,1053611837550419968,1,0
1183086312879996928,nice @FortniteFR 7min pour une game... [LIEN],Sat Oct 12 18:25:32 +0000 2019,Natex#CES2020,885077548346081280,0,0
