id,text,date,user,user_id,favorite_cnt,retweet_cnt
1183987810312867840,Les chiffres clés de la Haute Valeur Environnementale (HVE) [LIEN] via @Min_Agriculture,Tue Oct 15 06:07:46 +0000 2019,Cathy GAUTIER,1011592492960178181,0,1
1183813908487905280,"""Ils font du mal au monde rural ""😡 C'est une blague ? Car exploiter des animaux dans des conditions sanitaires déplorables,sans aucune empathie, ni respect pour eux...vous voulez gardez cela sous silence ! Mais n'oubliez surtout pas qui a le pouvoir €😉 @Min_Agriculture @Senat [LIEN]",Mon Oct 14 18:36:44 +0000 2019,DC.bart,1016776158980034560,0,0
1183800247950172160,"L'avis de l'#ANSES sur l'usine #Lubrizol publié, le @Min_Agriculture a appelé les préfets à lever les arrêtés préfectoraux pour la collecte de lait, les produits laitiers et le pâturage. C'est un soulagement pour #CeuxQuiFontLeLait ! @cniel @FNIL75 @Cooplaitieres @ThRoquefeuil",Mon Oct 14 17:42:27 +0000 2019,FNPL,1934078988,10,9
1183792194018263040,"L'#INRA et l'#IRSTEA fusionnent pour devenir l’#INRAE (Institut national de recherche pour l’agriculture, l’alimentation et l’environnement) à compter du 1er janvier 2020. Via @Min_Agriculture Cc @Inra_France @irstea 
[LIEN]",Mon Oct 14 17:10:27 +0000 2019,Pierre Pérochon,851037279300800512,0,0
1183782410640658433,"Bah tiens... Ce gouvernement ne sait décidément RIEN FAIRE DE BIEN !!! Ils nous emmerdent vraiment... 
@gouvernementFR @Min_Agriculture 
@EmmanuelMacron #Démission

[LIEN]",Mon Oct 14 16:31:34 +0000 2019,BenedSenlis_Я ✝️=♥ن #GiletJaune - Mat.19370,214849443,0,1
1183770475480190976,"Le @16octobre_fr dans le cadre du projet #maisongourmandeetreponsable, nous travaillons sur la réduction du gaspillage alimentaire. 🌍🌳

@FNAQPA @fnadepa @Min_Agriculture [LIEN]",Mon Oct 14 15:44:09 +0000 2019,EHPAD Notre Des Anges LILLE,824591667990765569,6,3
1183757718043140097,"Très heureux d'intervenir au @Min_Agriculture devant les directeurs des lycées agricoles de #France. En proposant un panorama des dynamiques mondiales, je voudrais souligner l'importance des métiers #agricoles et #alimentaires, partout sur la #planète, et donc aussi en #Europe [LIEN]",Mon Oct 14 14:53:27 +0000 2019,Sébastien ABIS,622745686,13,3
1183742967305199618,"Intervention de M. Didier Guillaume, @dguillaume26, ministre de l'Agriculture et de l'Alimentation lors du Conseil Agriculture et Pêche 🇪🇺: ""L'UE doit renforcer son action en faveur de la protection et de la restauration des forêts"" @Min_Agriculture [LIEN]",Mon Oct 14 13:54:50 +0000 2019,La France dans l'UE,260743284,4,0
1183739708528087040,L’INRAE verra le jour le 1er janvier 2020 #agriculture #alimentation [LIEN] via @Min_Agriculture,Mon Oct 14 13:41:53 +0000 2019,MINGUEZ Margaret,3039727625,0,0
1183720332202516480,L&amp;#039;agriculture française primée : « Modèle le plus durable du monde » [LIEN] via @Min_Agriculture,Mon Oct 14 12:24:54 +0000 2019,Jerome Baudouin,165680583,0,0
1183717633306308609,"Les conseillers aux affaires agricoles, un réseau d&amp;#039;experts en Europe et à l&amp;#039;international [LIEN] via @Min_Agriculture",Mon Oct 14 12:14:10 +0000 2019,Sonia DARRACQ,1180014883124994048,0,0
1183696520316686341,L’INRAE verra le jour le 1er janvier 2020 [LIEN] via @Min_Agriculture,Mon Oct 14 10:50:17 +0000 2019,RESO'THEM,884715294895329280,0,0
1183692684415897600,"L’Inra et Irstea deviendront l’INRAE au 1er janvier 2020

L’INRAE verra le jour le 1er janvier 2020 [LIEN] via @Min_Agriculture",Mon Oct 14 10:35:02 +0000 2019,MIcrobiologie et Chaîne Alimentaire INRA,967467402207350784,2,1
1183664762162438144,À #Luxembourg au conseil des ministres de l’agriculture et de la pêche #AGRIFISH #UE Protection des forêts. La France portera une déclaration au nom de 16 états membres sur le budget de la #PAC et une autre contre les sanctions américaines sur le vin. @Min_Agriculture [LIEN],Mon Oct 14 08:44:05 +0000 2019,Didier GUILLAUME,555044349,32,13
1183659616862949376,"Octobre, « Mois européen de la cybersécurité » [LIEN] via @Min_Agriculture",Mon Oct 14 08:23:38 +0000 2019,AFIGEC,297449020,0,1
1183653759790075905,[AAP] du Programme National pour l'Alimentation (#PNA) par @Min_Agriculture @MinSoliSante @ademe pour des #projets répondant aux enjeux #sanitaires #socioéconomiques et #environnementaux de l'#alimentation clôture des candidatures 25/11 [LIEN] [LIEN],Mon Oct 14 08:00:22 +0000 2019,lesaides_cci,85821025,0,0
1183648488296460288,"#Infographie
La France, 1er producteur européen agricole 🥇🇫🇷🇪🇺
source @Min_Agriculture 
#Agriculture #France #Europe [LIEN]",Mon Oct 14 07:39:25 +0000 2019,YOJOB Agriculture,4169997315,0,0
1183457759687299074,Quand va t’on laisser nos agriculteurs et éleveurs travailler en paix? #vandalisme #deuxièmefois @dguillaume26 @Min_Agriculture [LIEN],Sun Oct 13 19:01:32 +0000 2019,A-laure,723892363,1,1
1183449909581795328,"Nouvelle tendance sur @YouTube : les « Agri-YouTubers » ! Les chaînes de vidéos dédiées à l’#agriculture se multiplient en ligne . Ce phénomène prend de l’ampleur dans plusieurs pays, dont la France 🇫🇷 @dguillaume26 @Min_Agriculture ➡️📹 [LIEN]",Sun Oct 13 18:30:20 +0000 2019,Olivier Damaisin,789792281540890625,2,3
1183327543757287424,"Pourquoi partir en #Europe avec l'#EnseignementAgricole ?
- pouvoir confronter ses pratiques à d’autres pays
- explorer les différences dans l’organisation des exploitations

Plus d'infos : [LIEN]

#LaREM #LaREM17 @gouvernementFR @Min_Agriculture @dguillaume26 [LIEN]",Sun Oct 13 10:24:06 +0000 2019,LaREM17,934377519855304704,0,0
1183313955600715776,"Lutte contre le gaspillage alimentaire, circuits courts, qualité des produits, sont des sujets qui sont abordés depuis lundi à l'occasion de la Semaine du #Goût @Min_Agriculture. Retrouvez toutes les informations ici : [LIEN] [LIEN]",Sun Oct 13 09:30:06 +0000 2019,Vin & Société,1267748286,6,3
1183283460363968512,Imaginez en France... «la journée nationale des fermiers» 🚜 cc @Min_Agriculture @Salondelagri [LIEN],Sun Oct 13 07:28:55 +0000 2019,laurent dupin☢️,25659085,1,0
1183009678126653445,"Il tombe quand officiellement le #jourdesagriculteurs en France?
@Min_Agriculture 
Voila une bonne première action contre l'#agribashing ! [LIEN]",Sat Oct 12 13:21:01 +0000 2019,Pat28🚜🌾🐄🐝🥖🚩#soutientonpaysan,1049991508118695943,8,3
1182952556412178433,"Allo @Monoprix @MonopSav un commentaire, peut être ? Et @Min_Agriculture @dguillaume26, comment c'est possible de faire ça sans être inquiété ?
#GaspillageAlimentaire #BoycottMonoprix [LIEN]",Sat Oct 12 09:34:02 +0000 2019,🔻Le Hérisson Rouge,2899949519,23,23
1182932180294615041,"""Il faut que la science revienne dans les champs"" K.Schreiber #solvivant #agroecologie @Agriduvivant @Inra_France @Min_Agriculture 
[LIEN]",Sat Oct 12 08:13:04 +0000 2019,Arnaud Daguin,436177677,34,13
1182906766813732864,"#Agriculutre #MadeInBaugeEnAnjou 💡👏Ferme de Villaine
@anjouagricole @ChambagriPdL @JeunesAgri49 @Min_Agriculture @AvenirAgricole @TerrenetFR @JeunesAgri 

[LIEN]",Sat Oct 12 06:32:05 +0000 2019,Baugé-en-Anjou 🐗,1100588244,6,2
1182748361511841798,La peste porcine africaine : Questions - Réponses [LIEN] via @Min_Agriculture,Fri Oct 11 20:02:38 +0000 2019,parigote expatriée ®1524,272581021,0,0
1182731911829053440,"Allo Mr le Ministre @dguillaume26 @Min_Agriculture , un petit truc pour vous ... [LIEN]",Fri Oct 11 18:57:16 +0000 2019,GUYOT Vincent,2548123591,74,46
1182726871798169603,"« #CodeOnline Food, l’information produit sourcée des marques » @SAFThinkTank @Le_Demeter @sebastien_abis @GS1France @RNumerique @francois_deprey @Herve_Pillaud @FNSEA @CoopdeFrance @ANIA_FRANCE @FCDfrance @Min_Agriculture @60millions @UFCquechoisir [LIEN]",Fri Oct 11 18:37:14 +0000 2019,Paul Bounaud,1433403992,7,5
1182669635193315331,"#ErasmusDays à la #BergerieNationale : photo de groupe !
Partage d'expériences des jeunes apprentis du Pôle formation et visite de @vincon_philippe, DG de l'Enseignement et de la Recherche au ministère de l'Agriculture.
@ErasmusplusFR @gen_erasmus @Min_Agriculture @sup_recherche [LIEN]",Fri Oct 11 14:49:48 +0000 2019,Bergerie Nationale,4848958276,15,4
1182627263898181637,"=&gt; lire de communiqué de presse sur : [LIEN]
#vigneronindependant @FranceAgriMerFR @afpfr @Min_Agriculture [LIEN]",Fri Oct 11 12:01:26 +0000 2019,Vigneron Indépendant,42900225,14,9
1182611903564206081,"📰 [Revue de presse Eau] 💦
Retrouvez chaque semaine notre sélection d'articles !
👉 [LIEN] 👈
#eau #water #collterr #MilieuxAquatiques
@Actuenviro @OuestFrance @francebleu @CNRS @Min_Agriculture @ConfPaysanne @DepVendee @lamontagne_fr [LIEN]",Fri Oct 11 11:00:24 +0000 2019,Réseau EAU,3040420641,0,0
1182599538797928449,CSFB : Didier Guillaume rencontre l’ensemble des acteurs de la filière forêt-bois [LIEN] via @Min_Agriculture,Fri Oct 11 10:11:16 +0000 2019,ProfessionsBois,4850797493,3,1
1182595734564147201,"RDV le 15 octobre pour découvrir les lauréats de la 3e édition d'#ITAinnov @ACTA_asso et la conférence sur la co-innovation au @Le_Museum sous le patronage @Min_Agriculture @sup_recherche en partenariat avec @agrapresse @APECITAemploi 
 inscription sur  [LIEN] [LIEN]",Fri Oct 11 09:56:09 +0000 2019,iteipmai,1128358106,2,1
1182594527598653440,"C’est pas ma faute ! Stop à la culpabilisation des collègues !
C'est @dguillaume26 et @Min_Agriculture qui sont les seuls responsables des dysfonctionnements observés dans les #lycéeeagricoles depuis la rentrée. #enseignementagricole #cestpasmafaute 
[LIEN] [LIEN]",Fri Oct 11 09:51:21 +0000 2019,SNETAP-FSU,1464515150,11,11
1182587378113957888,"Connaissez-vous le rendez-vous quotidien du @Min_Agriculture sur #agriculture et #innovations ; #AgriLab ? Aujourd'hui on parle de la 2e session du #Mooc sur le #BienEtreAnimal 👍 

@Inra_ARA @Inra_France @ChambagriFrance [LIEN]",Fri Oct 11 09:22:57 +0000 2019,VetAgro Sup,99739242,2,1
1182580112920924161,"#ITAinnov s’appuie sur @TMA_team pour promouvoir la recherche appliquée agricole et agro-industrielle française ! Concours organisé par @ACTA_asso, sous le haut patronage de @Min_Agriculture et @sup_recherche 🔎 [LIEN] #RelationsMédias #RelationsInstitutionnelles [LIEN]",Fri Oct 11 08:54:04 +0000 2019,Thomas Marko & Ass.,2839529788,4,3
1182577271724544002,"Caroline Schechter nommée le 21/06 Hte fonctionnaire en charge du #handicap et de l’inclusion au ministère de l’Agriculture. Aujourd'hui elle détaille sa mission : favoriser l'#accessibilité et l'#inclusion. A suivre !
[LIEN] via @Min_Agriculture",Fri Oct 11 08:42:47 +0000 2019,Sébastien BORT,2254725944,1,0
1182576959999692801,"#IlLaDit cette semaine sur [LIEN] : Xavier Langlet, expert en #agriculturebiologique et #biocontrôle🐞 à la DGAL (@Min_Agriculture)
#LentementMaisSurement 🚶‍♂️ [LIEN]",Fri Oct 11 08:41:33 +0000 2019,Réf. environnement,2561230782,1,0
1182537823397785606,"#AgriLab Un #MOOC pour se former au bien-être des #animaux d'élevage par @VetAgroSup. 
📅 La 2e session débute ce lundi 14 octobre. #BienEtreAnimal @Chambagri79 @DeuxSevres @Min_Agriculture [LIEN]",Fri Oct 11 06:06:02 +0000 2019,Préfet des Deux-Sèvres,2282226390,1,1
1182396712461242372,"Dieu sait qu’ils sont tous beaux nos chevaux. À ne pas rater ! 😍🐴 #Nord #chevauxdetrait #agriculture #eleveurs #passion 

@Min_Agriculture @hautsdefrance @Fedeeleveurs [LIEN]",Thu Oct 10 20:45:18 +0000 2019,Béatrice Descamps,861666911872057348,0,2
1182373158642442242,#Agriculteurs @EPhilippePM @dguillaume26 @Min_Agriculture En ces temps de détresse pour les agriculteurs quelle gabegie!!! Quid @FranceAgriMerFR???!!! [LIEN],Thu Oct 10 19:11:43 +0000 2019,Pierrre Feuilly,49989085,0,0
1182369899022344192,PAC post 2020 : Didier Guillaume lance la concertation sur l’élaboration du futur Plan Stratégique National [LIEN] via @Min_Agriculture,Thu Oct 10 18:58:45 +0000 2019,jean pierre Raynaud,3298487515,0,1
1182322777526804481,Avec @BertrandSorre accueil d’une délégation de pêcheurs Normands à l’assemblée nationale avant un rdv au @Min_Agriculture pour évoquer les sujets d’actualité sanitaire et économiques de la filière. #Pêche #Brexit [LIEN],Thu Oct 10 15:51:31 +0000 2019,STEPHANE TRAVERT,382747703,7,3
1182308567895990274,Visite d'une ferme dans le Casdar Résilait chez Pierre Cassin éleveur de brebis bio @BioMassif @CAB_BIO_PDL @cniel @fnab_bio @InstitutElevage @paysdelaloire @Min_Ecologie @Min_Agriculture @interbioPdL @ITABinstitut @Agencebio @euraknos @ProduireBio [LIEN],Thu Oct 10 14:55:03 +0000 2019,CAB Filières animales règlement Bio Pays de Loire,954323479410696192,7,3
1182294710032969728,"Retour en image sur la première évaluation terrain des équipes robotiques du #ChallengeROSE au service d'#Ecophyto
Coordonné par le #LNE et @irstea, financé par @ANR, @AFBiodiversite @Min_Ecologie @Min_Agriculture et @Min_Ecologie 
▶️[LIEN] [LIEN]",Thu Oct 10 13:59:59 +0000 2019,irstea,404871982,12,9
1182280689292587008,Le biocontrôle : Question d’actualité face aux enjeux ! - @antyera33  en interview sur le plateau @Bpifrance  #InnoGeneration  @IBMAFrance @IBMAgl @INRAbiocontrole @SumiAgroFrance @Min_Agriculture @RBiocontrole [LIEN] [LIEN],Thu Oct 10 13:04:16 +0000 2019,Sesame-events,843463446024871937,6,4
