id,text,date,user,user_id,favorite_cnt,retweet_cnt
1183311658510438407,Aujourd’hui je participe aux qualifications de l’european smash team cup organisée par @NintendoFrance avec les frérot @med_theflow et @xy_jeda ! On va tout donner pour se qualifier et représenter la France 🇫🇷 🔥💪,Sun Oct 13 09:20:58 +0000 2019,"Vincent ""VinS"" Goossens🔜 Wanted Saison 3",725287470464679936,39,6
1183245981527220224,"Tranquille le chat c’est dimanche et dimanche c’est Gaming Time!
Avec la Nintendo Switch de Nintendo!
Bonne chance😺 
@cdiscount @NintendoFrance

Voici le lien de l’app:
👉[LIEN]👈

#beappy #appy #concours #cdiscount #giveaway #NintendoSwitch [LIEN]",Sun Oct 13 05:00:00 +0000 2019,Appy 🐱,1162347489099489280,39,9
1183158887165419521,Je crois que @NintendoFrance ont copié sur Qiyana de @LoL_France 😂😂 [LIEN],Sat Oct 12 23:13:55 +0000 2019,ⱣȺᵾŁØ,1131503994881400832,0,0
1183138610360520706,Je viens d'acheter la legenderay edition d'overwatch sur le nintendo e-shop et j'aimerai bien savoir comment on récupère le code online de 3 mois ? @NintendoFrance @OverwatchFR,Sat Oct 12 21:53:21 +0000 2019,Kenan love dogs especially shibas,2899692167,0,0
1183125211463458822,Hello @NintendoFrance il y a t'il un programme de retour pour les manettes victimes du joycon drift ? #switch #joycondrift,Sat Oct 12 21:00:06 +0000 2019,Mickaël Viaud,45359508,1,0
1182991712635019265,Je suis en manque d’ocarina of Time ! Mr @NintendoFrance si tu m’entends fais moi kiffer en me permettant d’y rejouer sur ma switch... 🥰🥰🙏 [LIEN],Sat Oct 12 12:09:37 +0000 2019,Ted smith,195467330,0,0
1182989293532270592,"Dernier baroud d'honneur de @Monsieur_Couyu pour dystopeek. Et c'est pas un pti morceau puisqu'il partage son ressenti sur Fire Emblem : Three Houses.
#videogames #JeuxVideo #FireEmblemThreeHouses #tactical #rpg #SWITCH
@koeitecmoeurope @NintendoFrance
[LIEN]",Sat Oct 12 12:00:01 +0000 2019,Dystopeek,1088140793448140800,8,6
1182942184686923776,Première animation réussie je suis plutôt fier #Kirby #Memes #Nintendo #dankmemes #dreamsland #gourmetrace @NintendoFrance @Nintendo [LIEN],Sat Oct 12 08:52:49 +0000 2019,GeoniXX_wg1.6,1011917908103061505,1,0
1182921890941284352,"Venez on commence la journée en live📽️
🔴Mario Kart Tour
👉[LIEN]

@MarioKartActu @NintendoFrance",Sat Oct 12 07:32:11 +0000 2019,FoXsHaDoW,258389674,1,0
1182802810271862784,"Pour avoir un #NintendoSwitchOnline  qui fonctionne !
✍️ Signez la pétition ! [LIEN] @NintendoFrance @Nintendo",Fri Oct 11 23:39:00 +0000 2019,Gregoryen レミ,157433781,4,4
1182774500171112450,"Souvenez-vous de vôtre 1ère #NES? 

#Nintendo #PUB #RetroGaming #gaming #collection #culturepub @NintendoFrance [LIEN]",Fri Oct 11 21:46:30 +0000 2019,JoLeDéjantéDuGaming,4915449178,6,4
1182753834348830720,Allez demain go au wanted organisée par @SLY_NtK  et dimmanche go a European Team cup organisée par @NintendoFrance  j'espère qu'avec ma team on passera les phases de pools,Fri Oct 11 20:24:23 +0000 2019,SE | GunpiX,3077582447,0,1
1182720211683856386,"🎮 Une petite vidéo setup ça vous dit ? Envoyer moi vos setup en photos 🎮
#setup #setupgaming #pcgamers #pcgaming #PlayStation #nintendoswitch #elgato #logitech 
@elgatogamingFR @LogitechGFrance @GamingSetupFR @PlayStationFR @NintendoFrance @TurtleBeachFR #turtlebeach [LIEN]",Fri Oct 11 18:10:47 +0000 2019,🎮LyNx Kaomhin 🎮,2462326516,0,2
1182677109598240778,"Koopa LaD, toi t'es encadré dans mon appart, dans l'bat 7. @koba7binks  @NintendoFrance [LIEN]",Fri Oct 11 15:19:30 +0000 2019,corns🤡,1025921385292591104,2,1
1182664199496962048,"Quand @NintendoFrance voit la vie en vert, son histoire d'amour avec @XboxFR continue 😉💚 [LIEN]",Fri Oct 11 14:28:12 +0000 2019,PassionaGeek,4149652462,4,0
