data,favorite_cnt,id,retweet_cnt,text,user,user_id
Fri Sep 13 04:32:51 +0000 2019,1.0,1172367513314680832,0.0,#Sncf: train sans prises 🔌 . On fait comment pour travailler ?@SNCF,dufour-coppolani dan,15748322
Fri Sep 13 04:58:46 +0000 2019,0.0,1172374035147059200,0.0,Les feignants de la @RATPgroup ont décidés d'enmerder la région IDF pour protéger les multi avantages qui auraient dû disparaître depuis longtemps... que le @gouvernementFR ne lâche rien et qu'il aille au bout de cette #ReformeRetraite idem pr @SNCF @EDFofficiel,Damien_Dé_Tréchis,1723226689
Fri Sep 13 05:04:51 +0000 2019,0.0,1172375565568901121,0.0,"Grève de train pour protester contre la reforme, ce qui entraine des retard de train à la @SNCF donc finalement pas de changement par rapport a d'habitude 😂😂😂",Malefoy Justine,1171446960701632513
Fri Sep 13 05:12:13 +0000 2019,0.0,1172377419136634880,0.0,Actuellement dans mon train #Grenoble #Lyon de 6h22 j’aurais pu me faire agresser parce qu’un déséquilibré dans le TER à commencer à être très agressif si seulement vos agents pouvait faire un tour de train une dame n’aurait pas eu besoin de venir à mon aide  @SNCF @SNCFTERAURA,Myr38,943514465215176704
Fri Sep 13 05:17:01 +0000 2019,2.0,1172378630703308801,0.0,3 fois en à peine 2 semaines que mon train est supprimé. La @SNCF vous en avez pas marre ?,Athénaïs,612381397
Fri Sep 13 05:29:57 +0000 2019,1.0,1172381883197353984,0.0,La @SNCF toujours en retard pour pas changer,A-S,2754678991
Fri Sep 13 05:31:02 +0000 2019,0.0,1172382156414259201,0.0,#greveratp @RER_A @RERD_SNCF @RERB @RERC_SNCF @RERE_SNCF @SNCF @ClientsRATP @RATPgroup***  11€/an/français  *** [LIEN],Mo' 💖,1024892199169863680
Fri Sep 13 05:52:07 +0000 2019,7.0,1172387463580438528,0.0,"Donc sur la semaine j'ai eu mon train supprimé 3 fois, c'est normal ça la SNCF?? @SNCF @TERHDF 😡",Amé,1064231227
Fri Sep 13 05:54:10 +0000 2019,6.0,1172387976745082880,1.0,Bonne chance aux courageuses/eux qui endurent ce jour de grève ! @ClientsRATP vous pouvez remercier et vous satisfaire que ce sont toujours les mêmes qui subissent ... @SNCF bientôt votre tour si je ne m'abuse,Marlene,1050384368131338241
Fri Sep 13 06:02:22 +0000 2019,2.0,1172390043534548992,2.0,"C’est bon, j’arrête de leur trouver des excuses, ils en ont plus là. @ouisncf @SNCF @GroupeSNCF @SNCFReseau @SNCF_Digital [LIEN]",𝒥𝓊𝓉𝓎𝓈𝑒𝓂,786283211026563072
Fri Sep 13 06:15:20 +0000 2019,11.0,1172393306728222721,2.0,« Vous trouverez à la voiture bar des tickets de métro en vente à l’unité »ILS SONT RIGOLOS À LA @SNCF. #greveratp,Quentin Leconte,230106162
Fri Sep 13 06:18:54 +0000 2019,1.0,1172394202782547968,0.0,Pas un jour sans une #*¥# sur le réseau de la @SNCF 🤬,MissBlake972,796543340
Fri Sep 13 06:27:34 +0000 2019,7.0,1172396383535415296,0.0,"Ce matin #greveratp, avec une ligne 14 vide! Les seuls avec qui j’ai eu des soucis sont là @sncf et le @RERD_SNCF ! Logique ahahah",Gaelle 🌎,392165144
Fri Sep 13 06:27:40 +0000 2019,0.0,1172396409330356228,0.0,Arriver avant 9h au bureau quand 10 lignes de métros sont fermées #likeaboss merci la @sncf,Quentin Meunier,896776356423454720
Fri Sep 13 06:51:32 +0000 2019,0.0,1172402416664244224,0.0,"Hello @SNCF, les quais ne sont pas censés être non fumeur ?",Vincent,3000013845
Fri Sep 13 06:51:37 +0000 2019,1.0,1172402435748315136,0.0,dites la @SNCF sur 8 jours de cours 5 problèmes de trains je vais finir par vous demander de justifier mes billets de retard,liam,3125534873
Fri Sep 13 06:52:37 +0000 2019,2.0,1172402688383827968,0.0,"Quand la @SNCF annule ton train pour ""indisponibilité du matériel"", c'est pas un peu du foutage de gueule? Franchement, plus ça va, plus la @sncfisajoke",Chaos_potatoe,4252320021
Fri Sep 13 07:00:21 +0000 2019,2.0,1172404631479013381,0.0,"[ Dans le Canap d'IFTM 🎥 ]   Olivier Pinna, Directeur des ventes B2B pour la @SNCF 🚅 nous donne quelques pistes quant à la préparation du groupe face à l'ouverture à la concurrence. Découvrez en plus ici  👇 [LIEN]",IFTM Top Resa,183198105
Fri Sep 13 07:13:12 +0000 2019,4.0,1172407868848398336,6.0,"Bonjour @Sncf @ouisncf ,Avez vous remis les dispos #idtgvmax2 à jour pour ce soir?? Notamment paris —&gt; aix Avec la grève #ratp , peut être que certains ont libéré des places 🙏🏻????Merci par avance !!!",lucielucielucielucie,834509777988366336
