id,text,date,user,user_id,favorite_cnt,retweet_cnt
1177623668035379201,Le nouveau EQC de @MBFRANCE_ se dévoile au #SalonAutolyon 💥 [LIEN],Fri Sep 27 16:38:56 +0000 2019,Salon Auto Lyon,373851390,0,0
1177255024818294785,"Ils me plaisent les nouveaux @MBFRANCE_ #Actros! Genre, vraiment ! 😍

Plus qu'à attendre ceux qui rentrent chez @ByCordier et espérer 🙏 [LIEN]",Thu Sep 26 16:14:04 +0000 2019,Yéti♂ ⭐⭐横山玲奈💛💛,144175082,3,0
1177161439213248514,"[👥 TABLE RONDE – Sur les routes de l’INNOVATION] Jean-Yves ASTOUIN des Transports Provence Astouin, Hubert CRESSON de @MBFRANCE_, Xavier DALLOZ de Xavier Dalloz Consulting et Christophe REYNAUD de MGI répondent à nos questions  ! #Innovation #CongrèsFNTR [LIEN]",Thu Sep 26 10:02:12 +0000 2019,FNTR,52674273,3,1
1176901918230228993,Nouveaux CLA Shooting Brake et EQC chez #Mercedes @MBFRANCE_ @salonautolyon #salonautolyon [LIEN],Wed Sep 25 16:50:57 +0000 2019,#AutomotivPress,334560180,8,0
1176896643779551235,"Hier, nos collaborateurs ont bénéficié de l’expertise des équipes de @MBFRANCE_ , qui viennent notamment leur présenter la nouvelle Classe A mais aussi les modèles Classe B et CLA. C'est aussi l’occasion pour eux de découvrir l’EQC, le premier SUV 100 % électrique de la marque ! [LIEN]",Wed Sep 25 16:30:00 +0000 2019,Arval France,790166538,2,1
1176878640916783106,"Pour le véhicule de vos rêves, vous optez pour la sobriété 🖤 ou des couleurs déjantées ? 🏳️‍🌈

Découvrez sur notre #INSTAGRAM la petite dernière de notre catégorie Luxury 😎 Partagez vos impressions avec le #Sixt et gagnez de nombreux 🎁

➡️ [LIEN]
🚘 @MBFRANCE_ [LIEN]",Wed Sep 25 15:18:27 +0000 2019,Sixt France,28331924,14,3
1176499188726751232,"Pour info @Def_Conducteurs @RealitesRoutes @FordFrance @MBFRANCE_ @PeugeotFR @CitroenFrance @afpfr @vwgroup_fr @BMWFrance @AudiFrance @Porsche_France @JaguarFrance 
 @HyundaiFrance @ToyotaFrance @Opel_France [LIEN]",Tue Sep 24 14:10:39 +0000 2019,ACHTE Christophe,1574451858,0,0
1176478389169004545,"Tous les chemins mènent à ... @gofast_swiss! Cela s'est avéré le cas pour ce voyage #médiatique de @MBFRANCE_. Durant une semaine, 10 #EQC en provenance de France ont régulièrement fait de courtes haltes chez GOFAST #Adliswil afin de recharger leurs batteries. [LIEN]",Tue Sep 24 12:48:00 +0000 2019,GOFAST,741217950640799744,0,0
1176428474459967489,Hey ! Bonne fête aux voisins allemands (et concurrents) de chez @MBFRANCE_ ! [LIEN],Tue Sep 24 09:29:39 +0000 2019,Johann,30915093,0,0
1176422333185167360,Mercedes-Benz abandonne les moteurs thermiques [LIEN] @RpmWeb @MercedesEQFE @ComoMercedesAMG @MercedesBenz @MBFRANCE_ @MercedesBenzEQ,Tue Sep 24 09:05:15 +0000 2019,BLOOWEELS,2676596791,1,3
1176414799271473152,"Ah mais ??? Carrément !!!! C'est voulu, @MBFRANCE_ ? [LIEN]",Tue Sep 24 08:35:19 +0000 2019,Antoine Larigaudrie,374395761,5,2
1176144279141519360,"A l'occasion de la #Semaine de la #Mobilité, nos collaborateurs au #Bourget ont pu découvrir la nouvelle gamme @MBFRANCE_ dont le nouvel #EQC, 100% #Electrique et la nouvelle Classe E 300de #Hybride et recheargeable #Diesel. 

#MobilitéDurable ! #Athlon #GettingYouThere [LIEN]",Mon Sep 23 14:40:22 +0000 2019,@AthlonFrance,1010129420743520256,2,1
1176033627970424832,Hello @MBFRANCE_ @Sirti_medias @swishlive @erepday on parle de vous dans le dernier numéro de Citronium. Pour en savoir plus [LIEN],Mon Sep 23 07:20:41 +0000 2019,Eric Dupin,6629062,1,0
1176005494529507328,"#MercedesBenz a mis en vente une #ClasseS 280 SE W126 qui appartenait à son #musée. La berline de 1982 ne totalise que 36 000 km et est proposée à 47 890€ !

#old #luxury #cars #Auto #Voiture #Germany #Power @MBFRANCE_ @MercedesBenz [LIEN]",Mon Sep 23 05:28:53 +0000 2019,Découvertes Automobiles,1084838576574156802,3,0
1175835765135302664,ma hlel t'es ou ? Sinon @MBFRANCE_ jsuis dispo pour recevoir l'une de vos beauté [LIEN],Sun Sep 22 18:14:27 +0000 2019,Baidy,3796511177,1,0
1175815306901692416,"Je viens de recevoir ma prime, je souhaite prendre rdv avec le PDG de Mercedes pour passer une commande  @MBFRANCE_",Sun Sep 22 16:53:09 +0000 2019,Kaiser.,427591561,0,0
1175771410146504704,Une balade avec la nouvelle @MBFRANCE_ @MercedesAMGF1 #Gle #mercedes #amg #photo [LIEN],Sun Sep 22 13:58:43 +0000 2019,Frédéric Decuyper,1126530483721056258,0,0
1175386227245289474,Prise en main Mercedes EQC 400 : un SUV électrique bluffant [LIEN] @lesnums @MercedesBenz @MBFRANCE_ @MBLUX_FR @ComoMercedesAMG @MercedesBenzEQ,Sat Sep 21 12:28:08 +0000 2019,BLOOWEELS,2676596791,2,1
1175348025440526336,"Publicité ringarde, déjà vue des millions de fois 

@FordFrance @MBFRANCE_ @PeugeotFR @CitroenFrance @afpfr @vwgroup_fr @BMWFrance @Audi_Wankers @AudiFrance @Porsche_France @JaguarFrance 
 @HyundaiFrance @ToyotaFrance @Opel_France [LIEN]",Sat Sep 21 09:56:20 +0000 2019,ACHTE Christophe,1574451858,0,0
1175333173473005568,On rentre des essais de la @MBFRANCE_ #EQC400 et bah on conduit différemment mais c’est plutôt apaisant... 1/2 [LIEN],Sat Sep 21 08:57:19 +0000 2019,GDB.tv,797058350,2,0
1175328477119225862,De Zurich à Milan en Mercedes EQC : moins en retard que ses concurrents [LIEN] via @Challenges @MercedesBenz @MBFRANCE_ @MercedesBenzEQ,Sat Sep 21 08:38:40 +0000 2019,BLOOWEELS,2676596791,2,0
1175326257917190146,Road trip en Mercedes EQC - Aussi bonne voyageuse qu'une Tesla ? (vidéo) #mercedes [LIEN] via @Caradisiac @MercedesBenz @MBFRANCE_ @MercedesBenzEQ,Sat Sep 21 08:29:51 +0000 2019,BLOOWEELS,2676596791,2,0
1175127080910163968,Le constructeur Daimler arrête définitivement le développement de moteurs thermiques ⁦@Clubic⁩ ⁦@Daimler⁩ ⁦@MBFRANCE_⁩ ⁦@MercedesBenzEQ⁩  [LIEN],Fri Sep 20 19:18:23 +0000 2019,BLOOWEELS,2676596791,9,2
1175126223250427904,"""Le vendredi des marques"" Spécial @MBFRANCE_ ! 🚗

La marque à l'étoile débarque avec trois nouveautés ! La #CLA Shooting Brake allie le plaisir de conduite, une ligne élégante sans sacrifier l'aspect fonctionnel d'un break. [LIEN]",Fri Sep 20 19:14:59 +0000 2019,Salon Auto Lyon,373851390,0,0
1175009766789263360,Allez on la ramène et on rentre #EQC @MBFRANCE_ [LIEN],Fri Sep 20 11:32:13 +0000 2019,Gonzague 👨🏼‍💻,5388102,3,0
1174952464954449921,Pas de coffre avant pour l'EQC de @MBFRANCE_ [LIEN],Fri Sep 20 07:44:31 +0000 2019,Gonzague 👨🏼‍💻,5388102,5,0
1174737643126628353,Ce soir c'est soirée découverte des nouveaux modèles chez @MBFRANCE_ !! #Techstar #Glc #Cla 😍 [LIEN],Thu Sep 19 17:30:54 +0000 2019,Clem Fuhrer,4009725609,0,0
1174634112298229760,Mercedes Vision EQS : une Classe S électrique toujours plus luxueuse [LIEN] @lesnums @MercedesEQFE @ComoMercedesAMG @MercedesBenz @MBFRANCE_ @Sclass_Mercedes @MercedesBenzEQ,Thu Sep 19 10:39:30 +0000 2019,BLOOWEELS,2676596791,4,1
1174632824789446656,Essai Mercedes Classe A 250 e hybride rechargeable (2019) ⁦@AutoPlusMag⁩ ⁦@ComoMercedesAMG⁩ ⁦@MercedesBenz⁩ ⁦@MBFRANCE_⁩ ⁦@MBLUX_FR⁩ ⁦@BenzAMGs⁩  [LIEN],Thu Sep 19 10:34:23 +0000 2019,BLOOWEELS,2676596791,2,0
1174618650189475840,"On a pris la route avec la @MBFRANCE_ EQC400 , petite pause charge sur une station @IONITY_EU en Suisse , super simple à utiliser , de 0 a 80% de charge en 40 minutes [LIEN]",Thu Sep 19 09:38:04 +0000 2019,Gonzague 👨🏼‍💻,5388102,8,1
1174613111363514368,Semaine électrique en Italie avec deux essais pour @LInternauteInfo : la nouvelle Zoé en début de semaine et maintenant le Mercedes EQC. Cap sur Zurich 🇨🇭 #RenaultZoe #MercedesEQC #EV @renault_fr @MBFRANCE_ [LIEN],Thu Sep 19 09:16:03 +0000 2019,Quentin Guéroult,66664136,1,0
1174607993448648706,"Mama me 📞 au salon, elle avait un date hier soir. Je lui demande comment ça été, elle me répond :
« J’ai été surprise, je suis rentrée à 4h du matin. Il avait une magnifique villa » 
🙄 je lui dis : 
« ok... et intellectuellement ? » 
Elle me dit : « fils, il a une @MBFRANCE_ » [LIEN]",Thu Sep 19 08:55:43 +0000 2019,Eric,1170588916191301632,6,0
