id,text,date,user,user_id,favorite_cnt,retweet_cnt
1183285663304765440,Le « Coffre personnel » de OneDrive est disponible en France [LIEN] @microsoftfrance [LIEN],Sun Oct 13 07:37:41 +0000 2019,Christophe Djellal,552313748,0,0
1183282016911003653,Les adolescents estiment que leurs parents les exposent trop sur les réseaux sociaux (sondage effectué dans 25 pays pour le compte de @microsoftfrance). La maîtrise des réseaux sociaux n'est donc pas une question d'âge... [LIEN],Sun Oct 13 07:23:11 +0000 2019,Philippe Boyer,2299577550,1,0
1183097015925989381,145 066🏆 et 150 120🏆 games scores en couple 👫 @XboxFR  #Xbox #XboxOneX @microsoftfrance ✌️🇫🇷🎮,Sat Oct 12 19:08:04 +0000 2019,"🏆❤️Le Krisprolls, Mlle Krisprolls, ❤️🏆👫",2447694990,0,0
1183068401578717189,"Bravo à @microsoftfrance et @Xbox pour la traduction 

Party qui deviens fête 😭😭😭 [LIEN]",Sat Oct 12 17:14:21 +0000 2019,GsE SheiTan,2381350448,0,0
1183035040525144065,"Impressionnante modélisation d Ajaccio sur Flight Simulator 2020
🤯😱😍
#Microsoft #MicrosoftFlightSimulator #flightsimulator #Xbox #ajaccio #corse #corsica @microsoftfrance @XboxFR  👏🏻 [LIEN]",Sat Oct 12 15:01:48 +0000 2019,TЯIIΔD,38796563,11,2
1182984510566293504,Les gars là Xbox One X vous en pensez quoi ?! ☺️ @microsoftfrance @XboxFR,Sat Oct 12 11:41:00 +0000 2019,Adèle Gaming,1129004214112477185,0,0
1182978099752902658,".@onrefaitlemac 344 . Au sommaire cette semaine @microsoftfrance plus innovant qu’@Apple ? Avec #SurfaceDuo et #SurfaceNeo , la firme de Redmond innove pour bousculer Apple. #ORLMac Avec @loran @damiendouani @truemisterX [LIEN] [LIEN]",Sat Oct 12 11:15:32 +0000 2019,Olivier Frigara,100759064,7,8
1182964461876981760,"Vraiment surpris par le support de @microsoftfrance @WindowsFrance 
Ils peuvent prendre le pc a distance,  c’est cool",Sat Oct 12 10:21:20 +0000 2019,Mathieu MARTIN,1958836208,1,0
1182708826681827332,Hey @microsoftfrance la prochaine fois demande avant de m'enculer tu seras gentil [LIEN],Fri Oct 11 17:25:32 +0000 2019,Guts The Black Wolf,836515714282500098,0,0
1182707844019294211,"Si vous êtes une start-up de l'#IA, cette news vous concerne : rejoignez l'#IA Factory pour développer des solutions centrées sur le patient.
@microsoftfrance @AstraZenecaFR 
Deadline candidatures le 31 octobre 👇 [LIEN]",Fri Oct 11 17:21:38 +0000 2019,Pôle Systematic,217393834,2,0
1182658885246771202,Mon #spooler d'impresssion sous #windows10 est toujours buggé malgré l'installation du dernier correctif. @WindowsFrance @microsoftfrance .C'est vraiment très pénalisant pour bosser !,Fri Oct 11 14:07:05 +0000 2019,🇫🇷 Boris 🚄,64538632,0,0
1182658722440630272,"Jeudi prochain, 15 octobre, venez écouter en direct les témoignages de @microsoftfrance, @databricks et @GetlinkGroup sur la #TransformationNumérique et analytique dans le #Cloud. Réservez vos places pour #TalendConnect ! #analytics #dataintegration [LIEN]",Fri Oct 11 14:06:26 +0000 2019,Noémie SH,2451292142,0,0
1182629856355540993,⁦@microsoftfrance⁩ #office365 aidez moi svp ⁦@OfficeFrance⁩ [LIEN],Fri Oct 11 12:11:44 +0000 2019,Clément,863015705654022144,0,0
1182614510164676610,Démo de @Rancher_Labs au #lighthouseroadshow chez @microsoftfrance @msdev_fr #azure #kubernetes #rancher [LIEN],Fri Oct 11 11:10:45 +0000 2019,Mickaël Mottet,201895414,3,2
1182612557749723137,"Les parents postent trop de photos de leurs enfants sur les réseaux sociaux ? C'est en tous cas l'avis des ados ➡
 [LIEN] via @microsoftfrance",Fri Oct 11 11:03:00 +0000 2019,Amélie Joncheray,632292697,0,0
1182591710867492865,"Assistez à la discussion de @microsoftfrance, @databricks et @GetlinkGroup sur la transformation numérique et analytique dans le #Cloud. Réservez vos places pour #TalendConnect ! #Paris #ParcDesPrinces #Speed #Trust [LIEN]",Fri Oct 11 09:40:10 +0000 2019,marthe buisson,616316258,1,0
1182589302812921857,"L'#EcoleIAMicrosoft contribue à la formation des futurs artisans de l'#IA ! Découvrez notre nouvelle promo à travers les témoignages des apprenants dans @le_Parisien ⬇️
[LIEN]
 @microsoftfrance @simplonco",Fri Oct 11 09:30:35 +0000 2019,Avanade France,322518915,7,7
1182585026594119681,"Bonjour @microsoftfrance, on aimerait bien tester vos nouvelles Kinect Azure dans l’équipe @potioc_team d’Inria Bordeaux. Son potentiel semble super intéressant ! Malheureusement, on ne peut toujours pas la commander en France :(",Fri Oct 11 09:13:36 +0000 2019,Philippe G,26313016,3,0
1182566604703518720,"Gestion en temps réel des salariés détachés chez @ENGIEgroup,anticipation des tendances de mode chez @LVMH, dépoussiérer les programmes de fidélité chez @franprix , aide aux personnes aveugles @microsoftfrance, les usages de l’#IA sont déjà larges cc. @ABWSDigital @EFEmanagement",Fri Oct 11 08:00:24 +0000 2019,Jean-Marc FAYOLLE,867609446,1,1
1182557522378547200,Enfin arrivé ! C'est parti pour le #LighthouseRoadshow @Rancher_Labs  chez @microsoftfrance,Fri Oct 11 07:24:18 +0000 2019,Captain Baleine 🐳,32353313,3,1
1182554304391143424,"En fait @microsoftfrance, c’est lancé dans l’#ASMR avant tout le Monde 😅 #UnPeuDAvanceDeTempsEnTemps [LIEN]",Fri Oct 11 07:11:31 +0000 2019,Tom Edgerry,57014168,0,0
1182544470363004928,"Bonjour @microsoftfrance , un des mes clients rencontre un soucis de "" IP(s) do not qualify for mitigation."" sur une de nos plages., nous sommes sur le snds et jmrp 🆗, son MX réponds à toutes les règles en vigueur et on peine à avoir un retour de la hotline (US). Please Help 🧐",Fri Oct 11 06:32:27 +0000 2019,ycy,832955495107403777,0,0
1182541837166350336,"T'achètes une super tablette surface Pro truc. Elle est vraiment bien et ensuite @microsoftfrance met à jour le Windows. Et là, tu as un truc foireux, toujours batterie vide parce qu'elle redémarre toute seule la nuit, elle déconne tout le temps...",Fri Oct 11 06:21:59 +0000 2019,maTThieu,14804316,1,0
1182444953433247744,"Et voilà, @CoalitionGears et @microsoftfrance qui prouvent qui ne valent pas mieux que les déserteurs.Filer des bonus d'XP et largages plus conséquent pour ceux qui finissent leurs matchs et pénaliser en XP et largages les déserteurs.Bien sûr que non !

[LIEN]",Thu Oct 10 23:57:00 +0000 2019,Kenshin-Alucard,1499897408,0,0
1182413798403198976,"Microsoft Event : plus de Surface ! [LIEN] via @wordpressdotcom @WindowsFrance @microsoftfrance @SurfaceFrance 

Nouvel article
KKC
 [LIEN] [LIEN]",Thu Oct 10 21:53:12 +0000 2019,KKC,2835300591,1,0
1182383399337627648,"Bonsoir @XboxFR et @microsoftfrance 

Voici une proposition sympa pour @Minecraft [LIEN]",Thu Oct 10 19:52:24 +0000 2019,sayan,757937787853307904,0,0
1182373736646762496,"Ne pas manquer cette table ronde que j'ai le plaisir d'animer : avecles témoignages de @GetlinkGroup (Eurotunnel) @microsoftfrance, et @databricks sur la transformation numérique et analytique dans le #Cloud. On se retrouve à #TalendConnect? [LIEN]",Thu Oct 10 19:14:00 +0000 2019,Jean-Michel Franco,122587156,1,1
1182365637684924417,"Un avion de chasse face à une clé USB ? ⁉️❌🇨🇭
Pour bien gérer sa #SI faisons plutôt appel aux experts 
➡️ @Ourghanlian @microsoftfrance @Les_Assises #AssisesSI [LIEN]",Thu Oct 10 18:41:49 +0000 2019,Marina Borriello,154257500,2,0
1182346283169861633,Des fois en entreprise on fait de belles découvertes ! #cc @microsoftfrance #office97 [LIEN],Thu Oct 10 17:24:55 +0000 2019,~/w4rell.sh 💾,921836209,5,0
